ID,诗名,花名,top10_count,imagery_count,imagery_ratio,nature_count,culture_count,action_count,imagery_tokens,non_imagery_tokens
291,画堂春,杏花,10,4,0.4,4,0,0,雨、水、花、香,门、粉、池、梢、玉、堤
259,定风波,桃花,10,3,0.3,3,0,0,露、水、风,帘、萼、门、五、武、簌、结
260,露 华,桃花,10,7,0.7,7,0,0,寒、香、根、燕、雪、月、叶,色、茸、粉
266,杏‘ 花,杏花,10,1,0.1,1,0,0,杏,井、帐、宫、娇、阳、茅、波、清、含
255,潘岳爱桃,桃花,10,3,0.3,3,0,0,河、桃、花,桑、孟、麻、阳、官、潘、有
268,杏 花,杏花,10,2,0.2,2,0,0,雨、山,枫、榴、黄、猿、红、蕊、更、钩
286,游园不值,杏花,10,3,0.3,3,0,0,春、枝、杏,苔、苍、红、屐、扉、关、色
542,浪淘沙,芍药,10,6,0.6,5,1,0,山、叶、云、月、花、楼,园、鶗、鹪、五
543,水龙吟,芍药,10,2,0.2,2,0,0,露、风,梢、帽、尊、阳、裾、鹃、檐、佩
544,望海潮,芍药,10,2,0.2,2,0,0,江、花,阳、州、观、名、洧、堂、蕊、屏
559,定风波,杜鹃,10,5,0.5,5,0,0,雨、山、风、春、日,血、染、红、解、啼
564,赋虞美人草,虞美人,10,3,0.3,2,0,1,江、草、望,蒿、夜、玉、蓬、妾、歌、语
569,虞美人,虞美人,10,3,0.3,3,0,0,花、江、草,血、鹃、碧、气、红、意、汉
610,石竹花,石竹,10,3,0.3,3,0,0,花、霜、竹,真、王、筠、子、暮、眼、不
600,西园石榴开,榴花,10,2,0.2,2,0,0,花、叶,榴、垣、台、簟、荒、啼、繁、旌
595,咏邻女东窗海石榴,榴花,10,2,0.2,2,0,0,枝、香,榴、瑚、绿、窗、金、鲁、映、扉
596,赋园中所有,榴花,10,1,0.1,1,0,0,花,堂、邻、榴、萼、瓜、娜、子、华、槎
597,榴 花,榴花,10,1,0.1,1,0,0,花,盆、绿、亭、市、高、园、团、名、参
608,贺新郎,榴花,10,2,0.2,1,0,1,燕、飞,帘、蕊、泪、清、榴、户、浪、扇
598,榴 花,榴花,10,3,0.3,3,0,0,花、山、水,州、方、囊、赤、种、葵、黄
615,栀 子,栀子花,10,4,0.4,4,0,0,峰、根、寒、香,薝、影、玉、峦、暑、荀
599,海 榴,榴花,10,1,0.1,1,0,0,叶,榴、笑、火、髻、郑、彩、红、绿、蒂
614,雨过山村,栀子花,10,2,0.2,2,0,0,山、竹,关、桑、田、唱、鸣、蚕、征、鸡
601,榴 花,榴花,10,3,0.3,2,0,1,风、花、落,榴、萼、邻、吹、户、西、幽
603,榴 花,榴花,10,2,0.2,2,0,0,枝、花,苔、榴、英、车、马、明、绛、眼
607,庆清朝,榴花,10,6,0.6,5,0,1,山、花、枝、风、叶、飞,苔、蒂、车、榴
612,赋石竹,石竹,10,0,0.0,0,0,0,,蒿、尺、梢、篱、葱、教、混、芳、点、蓬
609,石竹咏,石竹,10,2,0.2,2,0,0,露、枝,萋、英、朱、煜、化、绿、情、常
611,石竹花,石竹,10,3,0.3,2,0,1,风、春、归,红、谷、车、丛、浅、幽、马
