poem_poem_id,诗名,花名,朝代,poem_top10_ids,poem_top10_names,poem_top10_scores,ana_top10_ids,ana_top10_names,ana_top10_scores
505,如梦,杨花,清,"[559, 903, 987, 955, 327, 958, 932, 983, 223, 515]","[""定风波"", ""绛都春"", ""戏咏蜡梅二首"", ""种红梅一株于竹下赋此"", ""东风第一枝"", ""蝶恋花"", ""酷相思"", ""庆宫春"", ""二月二十四夜饮海棠下作"", ""水龙吟""]","[0.5502, 0.4887, 0.4826, 0.4613, 0.4591, 0.4362, 0.4232, 0.4171, 0.409, 0.4032]","[470, 137, 611, 218, 944, 979, 149, 512, 363, 521]","[""金沙花"", ""江梅引"", ""石竹花"", ""如梦令"", ""红 梅"", ""菩萨蛮"", ""疏 影"", ""声声慢"", ""远公亭牡丹"", ""木棉花歌""]","[0.9449, 0.9398, 0.9385, 0.9374, 0.9348, 0.9346, 0.9334, 0.9333, 0.9331, 0.9329]"
472,后土庙琼花诗二首,琼花,宋,"[983, 952, 951, 339, 896, 479, 706, 839, 221, 607]","[""庆宫春"", ""红梅四首(其二)"", ""红梅四首(其一)"", ""绣 球"", ""卖花声"", ""扬州慢"", ""迈陂塘"", ""墨菊二首(其二)"", ""南乡子"", ""庆清朝""]","[0.61, 0.5228, 0.4883, 0.4841, 0.4511, 0.4313, 0.4191, 0.3444, 0.3341, 0.3311]","[479, 956, 481, 182, 544, 764, 608, 959, 521, 817]","[""扬州慢"", ""留春 令"", ""喜迁莺"", ""张园海棠"", ""望海潮"", ""蓼 花"", ""贺新郎"", ""小重山"", ""木棉花歌"", ""古香慢""]","[0.936, 0.9275, 0.9265, 0.923, 0.9184, 0.9129, 0.9128, 0.9114, 0.911, 0.9103]"
466,贺新郎,蔷薇,宋,"[559, 608, 136, 225, 958, 984, 515, 346, 957, 154]","[""定风波"", ""贺新郎"", ""孤雁儿"", ""摸鱼儿"", ""蝶恋花"", ""贺新郎"", ""水龙吟"", ""木 兰"", ""玉楼春"", ""沁园春""]","[0.5593, 0.5269, 0.5227, 0.5213, 0.483, 0.4054, 0.394, 0.3702, 0.3632, 0.3554]","[465, 479, 642, 363, 997, 984, 975, 959, 960, 961]","[""玲珑四犯"", ""扬州慢"", ""张静婉采莲曲"", ""远公亭牡丹"", ""咏瑞香"", ""贺新郎"", ""水仙花"", ""小重山"", ""定风波"", ""王充道送水仙花五十枝""]","[0.9471, 0.9452, 0.9337, 0.93, 0.9293, 0.929, 0.9288, 0.9276, 0.9261, 0.9251]"
440,六 丑,蔷薇,宋,"[155, 642, 259, 959, 835, 696, 817, 149, 146, 512]","[""贺新郎"", ""张静婉采莲曲"", ""定风波"", ""小重山"", ""舟上采菊"", ""玉楼春"", ""古香慢"", ""疏 影"", ""一尊红"", ""声声慢""]","[0.5153, 0.487, 0.4759, 0.4566, 0.4245, 0.3861, 0.3762, 0.3696, 0.361, 0.3567]","[218, 481, 223, 959, 611, 470, 895, 516, 979, 829]","[""如梦令"", ""喜迁莺"", ""二月二十四夜饮海棠下作"", ""小重山"", ""石竹花"", ""金沙花"", ""阮郎归"", ""水龙吟"", ""菩萨蛮"", ""咏金钱花""]","[0.9332, 0.9321, 0.9278, 0.9256, 0.9249, 0.9228, 0.9224, 0.9224, 0.9219, 0.9214]"
479,扬州慢,虞美人,宋,"[339, 706, 952, 983, 472, 221, 896, 932, 999, 465]","[""绣 球"", ""迈陂塘"", ""红梅四首(其二)"", ""庆宫春"", ""后土庙琼花诗二首"", ""南乡子"", ""卖花声"", ""酷相思"", ""西江月"", ""玲珑四犯""]","[0.6533, 0.6139, 0.5961, 0.5659, 0.4313, 0.4291, 0.3857, 0.3741, 0.3595, 0.3541]","[481, 466, 363, 472, 791, 607, 919, 934, 957, 956]","[""喜迁莺"", ""贺新郎"", ""远公亭牡丹"", ""后土庙琼花诗二首"", ""曼陀罗"", ""庆清朝"", ""芙蓉"", ""叹庭前甘菊花"", ""玉楼春"", ""留春 令""]","[0.9521, 0.9452, 0.9371, 0.936, 0.9352, 0.9339, 0.9337, 0.9332, 0.9324, 0.9323]"
421,兰 花,兰花,清,"[764, 979, 926, 639, 895, 853, 832, 610, 600, 824]","[""蓼 花"", ""菩萨蛮"", ""窗前木芙蓉"", ""奉酬卢给事云夫四兄曲江荷花行见寄并呈上钱七兄阁老张十八助教"", ""阮郎归"", ""刘员外寄移菊"", ""蘋 花"", ""石竹花"", ""西园石榴开"", ""菩萨蛮""]","[0.3556, 0.2897, 0.2743, 0.2637, 0.2637, 0.2637, 0.2637, 0.2469, 0.2376, 0.2353]","[346, 479, 975, 840, 770, 702, 895, 837, 764, 327]","[""木 兰"", ""扬州慢"", ""水仙花"", ""采菊篇"", ""水龙吟蓼花"", ""洞仙歌令"", ""阮郎归"", ""菊 花"", ""蓼 花"", ""东风第一枝""]","[0.948, 0.9285, 0.9269, 0.9195, 0.9175, 0.9167, 0.9166, 0.9158, 0.9158, 0.9157]"
512,声声慢,杨花,宋,"[956, 260, 543, 406, 481, 224, 608, 137, 155, 699]","[""留春 令"", ""露 华"", ""水龙吟"", ""水龙吟"", ""喜迁莺"", ""宴清都"", ""贺新郎"", ""江梅引"", ""贺新郎"", ""踏莎行""]","[0.6473, 0.6427, 0.6144, 0.6109, 0.5701, 0.5336, 0.506, 0.4943, 0.4924, 0.4923]","[505, 543, 355, 291, 495, 770, 228, 221, 226, 997]","[""如梦"", ""水龙吟"", ""东风第一枝"", ""画堂春"", ""柳花词三首"", ""水龙吟蓼花"", ""桃 花"", ""南乡子"", ""风雨看舟前落花戏为新句"", ""咏瑞香""]","[0.9333, 0.9241, 0.923, 0.9226, 0.9221, 0.9198, 0.9186, 0.918, 0.9167, 0.9157]"
515,水龙吟,杨花,宋,"[958, 975, 516, 932, 824, 559, 760, 136, 899, 227]","[""蝶恋花"", ""水仙花"", ""水龙吟"", ""酷相思"", ""菩萨蛮"", ""定风波"", ""蝶恋花"", ""孤雁儿"", ""南乡子"", ""绯桃花歌""]","[0.6209, 0.6189, 0.5881, 0.5085, 0.5056, 0.4556, 0.4518, 0.4507, 0.4467, 0.4067]","[516, 259, 505, 495, 749, 958, 979, 137, 136, 363]","[""水龙吟"", ""定风波"", ""如梦"", ""柳花词三首"", ""咏槿花"", ""蝶恋花"", ""菩萨蛮"", ""江梅引"", ""孤雁儿"", ""远公亭牡丹""]","[0.9491, 0.934, 0.9292, 0.9255, 0.9198, 0.9183, 0.9182, 0.9173, 0.9173, 0.9159]"
516,水龙吟,杨花,明,"[515, 979, 291, 899, 975, 824, 495, 958, 327, 544]","[""水龙吟"", ""菩萨蛮"", ""画堂春"", ""南乡子"", ""水仙花"", ""菩萨蛮"", ""柳花词三首"", ""蝶恋花"", ""东风第一枝"", ""望海潮""]","[0.5881, 0.5559, 0.521, 0.4582, 0.4582, 0.4544, 0.4466, 0.4439, 0.4429, 0.4417]","[515, 259, 440, 505, 959, 495, 481, 607, 137, 218]","[""水龙吟"", ""定风波"", ""六 丑"", ""如梦"", ""小重山"", ""柳花词三首"", ""喜迁莺"", ""庆清朝"", ""江梅引"", ""如梦令""]","[0.9491, 0.9227, 0.9224, 0.9215, 0.9194, 0.919, 0.9169, 0.9159, 0.9113, 0.9104]"
521,木棉花歌,木棉花,清,"[896, 983, 559, 221, 219, 707, 701, 223, 154, 472]","[""卖花声"", ""庆宫春"", ""定风波"", ""南乡子"", ""如梦令"", ""迈陂塘"", ""惜红衣"", ""二月二十四夜饮海棠下作"", ""沁园春"", ""后土庙琼花诗二首""]","[0.5107, 0.4063, 0.4041, 0.3798, 0.3688, 0.3688, 0.3548, 0.3475, 0.3229, 0.3186]","[470, 603, 179, 595, 944, 611, 182, 187, 185, 749]","[""金沙花"", ""榴 花"", ""折海棠戏赠圣俞"", ""咏邻女东窗海石榴"", ""红 梅"", ""石竹花"", ""张园海棠"", ""海棠"", ""海 棠"", ""咏槿花""]","[0.9442, 0.9421, 0.9364, 0.9362, 0.9356, 0.9354, 0.9351, 0.9346, 0.9333, 0.9332]"
