ID,诗名,花名,朝代,月份,正文_preview,top10_tokens,top5_preview
183,海棠歌,樱桃花,宋,二月,"我初入蜀鬓未霜， 南充樊亭看海棠。
当时已谓目未睹， 岂知更","[[""花"", 0.03368675708770752], [""霜"", 0.03190844878554344], [""雨"", 0.031232262030243874], [""寒"", 0.02957308478653431], [""棠"", 0.02373763546347618], [""风"", 0.02243412286043167], [""枝"", 0.02093575708568096], [""碧"", 0.02006646804511547], [""梦"", 0.01819484494626522], [""海"", 0.018181465566158295]]",花、霜、雨、寒、棠
185,海 棠,樱桃花,宋,二月,"朱栏明媚照横塘， 芳树交加枕短墙。
传得东君深意态， 染成西","[[""翠"", 0.019116858020424843], [""河"", 0.01787983812391758], [""香"", 0.01671409420669079], [""露"", 0.016638534143567085], [""栏"", 0.015187849290668964], [""龙"", 0.014460374601185322], [""怨"", 0.01367640495300293], [""啼"", 0.013380513526499271], [""佩"", 0.012361724860966206], [""红"", 0.012288697995245457]]",翠、河、香、露、栏
187,海棠,樱桃花,宋,二月,幽姿淑态弄春晴， 梅借风流柳借轻。种处静宜临野水， 开时长是,"[[""帐"", 0.06877236813306808], [""水"", 0.04635056480765343], [""梅"", 0.03673241659998894], [""香"", 0.03586596995592117], [""风"", 0.03434674069285393], [""脂"", 0.030230065807700157], [""含"", 0.02703399397432804], [""柳"", 0.02700367569923401], [""拂"", 0.02668771520256996], [""雨"", 0.02640257030725479]]",帐、水、梅、香、风
211,黄海棠,樱桃花,金,二月,"轻如红豆排冰雪， 一拂新鹅色更奇。
不觉浓阴破明玉， .有情","[[""阴"", 0.06493820995092392], [""明"", 0.0557953342795372], [""豆"", 0.05577801540493965], [""离"", 0.05459035560488701], [""色"", 0.046208739280700684], [""雪"", 0.044505774974823], [""红"", 0.037104591727256775], [""情"", 0.03570660948753357], [""拂"", 0.03507542982697487], [""浓"", 0.03487193584442139]]",阴、明、豆、离、色
218,如梦令,樱桃花,宋,二月,昨夜雨疏风骤，浓睡不消残酒。试问卷帘人，却道海棠依旧。知否？,"[[""帘"", 0.12746016681194305], [""海"", 0.04048333689570427], [""雨"", 0.037727225571870804], [""骤"", 0.0293175857514143], [""道"", 0.028982730582356453], [""棠"", 0.025086434558033943], [""肥"", 0.025081489235162735], [""人"", 0.02215050347149372], [""夜"", 0.021862540394067764], [""绿"", 0.02135472185909748]]",帘、海、雨、骤、道
224,宴清都,樱桃花,宋,二月,绣幄鸳鸯柱。红情密，腻云低护秦树。芳根鹪倚，花梢钿合，锦屏人,"[[""股"", 0.025655878707766533], [""灯"", 0.02021205611526966], [""根"", 0.01723078265786171], [""树"", 0.014823900535702705], [""滟"", 0.014559113420546055], [""蜡"", 0.014198724180459976], [""露"", 0.012943116948008537], [""鬟"", 0.01284266822040081], [""梢"", 0.012811806052923203], [""秋"", 0.012749355286359787]]",股、灯、根、树、滟
221,南乡子,樱桃花,宋,二月,十月小春天，红叶红花半雨烟。点滴红酥真耐冷；争先，夺取梅魂斗,"[[""鹰"", 0.03147237375378609], [""酥"", 0.02152675949037075], [""枝"", 0.02133096568286419], [""雨"", 0.016221843659877777], [""飞"", 0.015282364562153816], [""葛"", 0.014891095459461212], [""叶"", 0.013905460946261883], [""眠"", 0.013155924156308174], [""花"", 0.012969624251127243], [""春"", 0.012648210860788822]]",鹰、酥、枝、雨、飞
223,二月二十四夜饮海棠下作,樱桃花,宋,二月,·老子年来，颇自许、心肠铁石。尚一点、消磨未尽，爱花成癖。懊,"[[""烛"", 0.024779900908470154], [""云"", 0.02452261745929718], [""寒"", 0.02261028066277504], [""日"", 0.019127702340483665], [""心"", 0.01679432950913906], [""雨"", 0.01417002733796835], [""烈"", 0.013244093395769596], [""院"", 0.012697064317762852], [""几"", 0.01265410054475069], [""杜"", 0.012086626142263412]]",烛、云、寒、日、心
225,摸鱼儿,樱桃花,宋,二月,甚春来、冷烟凄雨，朝朝迟了芳信？蓦然作暖晴三日，又觉万姝娇困,"[[""烟"", 0.03808867558836937], [""城"", 0.027664367109537125], [""雨"", 0.02615835890173912], [""苔"", 0.02411564812064171], [""霜"", 0.015638550743460655], [""墙"", 0.015149428509175777], [""春"", 0.014810585416853428], [""飞"", 0.014393352903425694], [""鬓"", 0.014153952710330486], [""脂"", 0.013957208022475243]]",烟、城、雨、苔、霜
226,风雨看舟前落花戏为新句,桃花,唐,二月,"江上人家桃树枝， 春寒细雨入疏篱。
影遭碧水潜勾引， 风妒红","[[""桃"", 0.030638718977570534], [""蜜"", 0.02818663790822029], [""花"", 0.027547309175133705], [""江"", 0.027455998584628105], [""碧"", 0.02487364038825035], [""沙"", 0.023253781720995903], [""蝴"", 0.021577483043074608], [""飞"", 0.019573131576180458], [""蝶"", 0.018926281481981277], [""蜂"", 0.018831834197044373]]",桃、蜜、花、江、碧
227,绯桃花歌,桃花,唐,二月,"上帝春官思丽绝， 夭桃变态求新悦。
便是花中倾国容， 牡丹泫","[[""宫"", 0.008584121242165565], [""阿"", 0.008428131230175495], [""刘"", 0.007533642463386059], [""斤"", 0.006775017827749252], [""赋"", 0.006460255011916161], [""车"", 0.0063711777329444885], [""反"", 0.00628464063629508], [""碾"", 0.0059350887313485146], [""黄"", 0.005658014677464962], [""牡"", 0.005409145727753639]]",宫、阿、刘、斤、赋
219,如梦令,樱桃花,宋,二月,江上绿杨芳草，想见故园春好。一洞海棠花，昨夜梦魂飞绕。惊晓，,"[[""花"", 0.07325731217861176], [""棠"", 0.06314986944198608], [""窗"", 0.043728675693273544], [""草"", 0.03654181957244873], [""啼"", 0.03535625711083412], [""杨"", 0.03238028287887573], [""梦"", 0.02880103513598442], [""园"", 0.028176480904221535], [""飞"", 0.027998248115181923], [""江"", 0.024678360670804977]]",花、棠、窗、草、啼
495,柳花词三首,杨花,唐,三月,"开从绿条上， 散逐香风远。
.故取花落时， 悠扬占春晚。轻飞","[[""飞"", 0.029410064220428467], [""舞"", 0.02557559311389923], [""香"", 0.018055180087685585], [""条"", 0.01744273118674755], [""落"", 0.017373783513903618], [""送"", 0.016361961141228676], [""家"", 0.01626821793615818], [""故"", 0.016267407685518265], [""天"", 0.015689725056290627], [""轻"", 0.015631644055247307]]",飞、舞、香、条、落
406,水龙吟,牡丹,宋,三月,晓寒慵揭珠帘，牡丹院落花开未？玉栏干畔，柳丝一把，和风半倚。,"[[""竹"", 0.037548892199993134], [""寒"", 0.02898458018898964], [""水"", 0.026856377720832825], [""柳"", 0.025593575090169907], [""落"", 0.020887063816189766], [""帘"", 0.016873085871338844], [""香"", 0.016318311914801598], [""牡"", 0.016286717727780342], [""半"", 0.015289803966879845], [""繁"", 0.014736786484718323]]",竹、寒、水、柳、落
481,喜迁莺,虞美人,元,三月,东风吹尽。但一片绿阴，空留春恨。后土祠荒，飞琼谪久，还喜玉容,"[[""峰"", 0.06246359646320343], [""绿"", 0.04833801090717316], [""水"", 0.037828363478183746], [""蜂"", 0.02890053763985634], [""脂"", 0.020639849826693535], [""月"", 0.01895129680633545], [""香"", 0.01770460233092308], [""片"", 0.01743651181459427], [""酒"", 0.015337183140218258], [""折"", 0.013646683655679226]]",峰、绿、水、蜂、脂
388,惜牡丹花,牡丹,唐,三月,"惆帐阶前红牡丹， 晚来唯有两枝残。
明朝风起应吹尽， 夜惜衰","[[""火"", 0.08921317756175995], [""阶"", 0.06947842240333557], [""红"", 0.06918786466121674], [""帐"", 0.05557597428560257], [""吹"", 0.05462044104933739], [""枝"", 0.04764986038208008], [""风"", 0.044686757028102875], [""起"", 0.037250954657793045], [""丹"", 0.03676481917500496], [""牡"", 0.028436515480279922]]",火、阶、红、帐、吹
369,牡 丹,牡丹,唐,三月,"锦韩初卷卫夫人， 绣被犹堆越鄂君。
垂手乱翻雕玉佩， 折腰争","[[""炉"", 0.06776916235685349], [""梦"", 0.06239134073257446], [""叶"", 0.05316024273633957], [""香"", 0.04496750608086586], [""金"", 0.03588559478521347], [""云"", 0.03370639309287071], [""佩"", 0.026881638914346695], [""裙"", 0.024971749633550644], [""荀"", 0.024908458814024925], [""书"", 0.022611001506447792]]",炉、梦、叶、香、金
363,远公亭牡丹,牡丹,唐,三月,"雁门禅客吟春亭， 牡丹独逞花中英。
双成腻脸偎云屏， 百般姿","[[""江"", 0.07243448495864868], [""荣"", 0.026580333709716797], [""笙"", 0.019536469131708145], [""蜂"", 0.017485469579696655], [""蝶"", 0.015753120183944702], [""雨"", 0.013709270395338535], [""愁"", 0.013440226204693317], [""歌"", 0.013319057412445545], [""飞"", 0.013172343373298645], [""粘"", 0.012877630069851875]]",江、荣、笙、蜂、蝶
470,金沙花,金沙,宋,三月,"双松树子碧团園 红锦缠头白锦冠。
尽放花枝过墙去， 不妨分与","[[""松"", 0.10919737815856934], [""树"", 0.05560740828514099], [""花"", 0.05038725957274437], [""子"", 0.04619429260492325], [""枝"", 0.03849340230226517], [""墙"", 0.03834814578294754], [""路"", 0.0339227020740509], [""冠"", 0.03195016458630562], [""碧"", 0.030727462843060493], [""锦"", 0.030716080218553543]]",松、树、花、子、枝
465,玲珑四犯,蔷薇,宋,三月,一架幽芳，自过了梅花，独占清绝。露叶檀心，香·满万条晴雪。肌,"[[""雨"", 0.024004654958844185], [""香"", 0.02161051705479622], [""月"", 0.01979675330221653], [""牡"", 0.019169306382536888], [""犹"", 0.01857844553887844], [""节"", 0.018420197069644928], [""蕤"", 0.017456967383623123], [""酒"", 0.01670418679714203], [""架"", 0.014712000265717506], [""花"", 0.014363094232976437]]",雨、香、月、牡、犹
505,如梦,杨花,清,三月,岂是绣绒残吐？卷起半帘香雾。纤手自括来， 空使鹃啼燕妒。且住,"[[""绒"", 0.06272725760936737], [""香"", 0.062288425862789154], [""帘"", 0.05289355292916298], [""岂"", 0.0528004914522171], [""雾"", 0.04186369106173515], [""鹃"", 0.04077574238181114], [""春"", 0.036432117223739624], [""妒"", 0.03148078918457031], [""莫"", 0.029311662539839745], [""半"", 0.027421800419688225]]",绒、香、帘、岂、雾
472,后土庙琼花诗二首,琼花,宋,三月,扬州后土庙有花一株，洁白可爱，且其树大而花繁，不知实何木也。,"[[""花"", 0.05781925842165947], [""松"", 0.03860064595937729], [""涧"", 0.03683752194046974], [""土"", 0.030739009380340576], [""州"", 0.026720276102423668], [""娥"", 0.022583769634366035], [""枝"", 0.020764660090208054], [""霜"", 0.02072363719344139], [""云"", 0.01930573210120201], [""柯"", 0.01924649067223072]]",花、松、涧、土、州
466,贺新郎,蔷薇,宋,三月,曾与瑶姬约。恍相逢、翠裳摇曳，珠蒱联络。风露青冥非人世，揽结,"[[""雨"", 0.018939625471830368], [""酢"", 0.01873650774359703], [""茉"", 0.01796392910182476], [""烛"", 0.017219500616192818], [""翠"", 0.016581101343035698], [""箫"", 0.015451138839125633], [""露"", 0.015357885509729385], [""晴"", 0.015297599136829376], [""声"", 0.014139104634523392], [""衫"", 0.012968271970748901]]",雨、酢、茉、烛、翠
440,六 丑,蔷薇,宋,三月,正单衣试酒，帐客里、光阴虚掷。愿春暂留，春归如过翼，一去无迹,"[[""香"", 0.02378309704363346], [""柳"", 0.021390287205576897], [""碧"", 0.01725568249821663], [""蜂"", 0.017158476635813713], [""酒"", 0.01654682867228985], [""雨"", 0.014939474873244762], [""钗"", 0.014366228133440018], [""风"", 0.0140083534643054], [""桃"", 0.013034925796091557], [""春"", 0.01283335406333208]]",香、柳、碧、蜂、酒
479,扬州慢,虞美人,宋,三月,琼花，唯扬州后土殿前一本。比聚八仙大率相类，而不同者有三：琼,"[[""竹"", 0.0235438235104084], [""香"", 0.015625124797225], [""花"", 0.01060580089688301], [""枝"", 0.010301686823368073], [""愁"", 0.010240192525088787], [""冷"", 0.009741904214024544], [""雨"", 0.009313543327152729], [""叶"", 0.009197302162647247], [""烟"", 0.00871153175830841], [""蕊"", 0.007623216602951288]]",竹、香、花、枝、愁
421,兰 花,兰花,清,三月,"九豌齐栽品独优， 最宜簪助美人头。
一从夫子临轩顾， 羞伍凡","[[""头"", 0.06183671951293945], [""豌"", 0.061010513454675674], [""轩"", 0.05353330820798874], [""九"", 0.04993509501218796], [""临"", 0.044567856937646866], [""栽"", 0.039895154535770416], [""簪"", 0.03976266086101532], [""子"", 0.03329768404364586], [""一"", 0.033078331500291824], [""斗"", 0.029044069349765778]]",头、豌、轩、九、临
512,声声慢,杨花,宋,三月,燕泥沾粉，鱼浪吹香，芳堤十里新晴。静惹游丝，花边裊袅扶春。多,"[[""雨"", 0.04732906445860863], [""雪"", 0.02736007049679756], [""浪"", 0.020731298252940178], [""月"", 0.01590767316520214], [""粉"", 0.015198481269180775], [""缀"", 0.014590931124985218], [""窗"", 0.013723640702664852], [""一"", 0.013263975270092487], [""泥"", 0.012900090776383877], [""挽"", 0.012187262065708637]]",雨、雪、浪、月、粉
515,水龙吟,杨花,宋,三月,似花还似非花，也无人惜从教坠。抛家傍路，思量却是，无情有思。,"[[""水"", 0.018776433542370796], [""又"", 0.010415961034595966], [""尘"", 0.010083570145070553], [""却"", 0.00973629392683506], [""里"", 0.009545750916004181], [""雨"", 0.008952467702329159], [""飞"", 0.008691012859344482], [""缀"", 0.008679716847836971], [""二"", 0.008433280512690544], [""池"", 0.008364984765648842]]",水、又、尘、却、里
516,水龙吟,杨花,明,三月,春闺忒恁愁人，已看尽落红翻坠。杨花更惨，连空映日，撩人情思。,"[[""蘋"", 0.01701914146542549], [""水"", 0.01640479639172554], [""荡"", 0.016282567754387856], [""泪"", 0.01199369877576828], [""辽"", 0.01195203885436058], [""雪"", 0.011777669191360474], [""城"", 0.011469963006675243], [""碎"", 0.011411994695663452], [""寻"", 0.011319858022034168], [""兰"", 0.010665010660886765]]",蘋、水、荡、泪、辽
