row_idx,ID,诗名,花名,朝代
396,384,赏牡丹二首(其一),牡丹,唐
397,385,酬胡三凭人问牡丹,牡丹,唐
398,386,赠李十二牡丹花片因以饯行,牡丹,唐
399,387,移牡丹栽,牡丹,唐
400,388,惜牡丹花,牡丹,唐
401,389,白牡丹,牡丹,唐
402,390,和僧咏牡丹,牡丹,唐
403,391,山僧送牡丹,牡丹,宋
404,392,雨中闻姚黄开呈子骏尧夫,牡丹,宋
405,393,效王仲至少监咏姚花用其韵四首(选二首),牡丹,宋
406,394,牡 丹,牡丹,宋
407,395,偶得牡丹数本移植窗外将有著花意,牡丹,宋
408,396,奉陪颖叔赋锁院牡丹,牡丹,宋
409,397,昔日杂兴,牡丹,元
410,398,牡 丹,牡丹,明
411,399,牡 丹,牡丹,明
412,400,二色牡丹(二首),牡丹,明
413,401,并头牡丹诗,牡丹,清
414,402,牡 丹,牡丹,清
415,403,点绛唇,牡丹,宋
416,404,江城子,牡丹,金
417,405,汉宫春,牡丹,宋
418,406,水龙吟,牡丹,宋
419,407,平韵满江红（牡丹）,牡丹,宋
420,408,感 遇,兰花,唐
421,409,题杨次公春兰,兰花,宋
422,410,明上人画兰图,兰花,元
423,411,幽 兰,兰花,唐
424,412,咏 兰,兰花,唐
425,413,兰 涧,兰花,宋
426,414,春 兰,兰花,元
427,415,咏 兰,兰花,元
428,416,咏幽兰,兰花,清
429,417,破盆兰花,兰花,清
430,418,折枝兰,兰花,清
431,419,题画兰,兰花,清
432,420,画 兰,兰花,清
433,421,兰 花,兰花,清
434,422,蕙兰芳引,兰花,清
435,423,看美人摘蔷薇,蔷薇,南朝梁
436,424,蔷薇洞,蔷薇,明
437,425,蔷薇歌,蔷薇,唐
438,426,蔷薇正开，春酒初熟，因招刘十九张大夫崔二十四同饮,蔷薇,唐
439,427,咏七姊妹花,蔷薇,明
440,428,咏蔷薇,蔷薇,南朝梁
441,429,蔷 薇,蔷薇,唐
442,430,饮蔷薇下,蔷薇,明
443,431,题兴化寺园亭,蔷薇,唐
444,432,山亭夏日,蔷薇,唐
445,433,重题蔷薇,蔷薇,唐
446,434,蔷 薇,蔷薇,唐
447,435,蔷 薇,蔷薇,唐
448,436,锦被堆(其一),蔷薇,宋
449,437,野蔷薇,蔷薇,宋
450,438,黄蔷薇,蔷薇,明
451,439,对窗前十姊妹花,蔷薇,清
452,440,六 丑,蔷薇,宋
453,441,酴醾依柏引蔓上冒其顛,酴醿,宋
454,442,茶䕷架,酴醿,元
455,443,次韵咏酴醛,酴醿,宋
456,444,观主簿家酴醾,酴醿,宋
457,445,酴醾,酴醿,宋
458,446,咏酴醾,酴醿,宋
459,447,酴,酴醿,宋
460,448,酴 醾,酴醿,宋
461,449,茶䕷花,酴醿,宋
462,450,惜荼䕷,酴醿,宋
463,451,和文与可洋州园池酴醾洞,酴醿,宋
464,452,赏茶䕷有感,酴醿,宋
465,453,酴 醾,酴醿,宋
466,454,披香阁上观茶蕨,酴醿,宋
467,455,酴醾花谢有感,酴醿,宋
468,456,荼蘼,酴醿,宋
469,457,荼蘼,酴醿,宋
470,458,荼蘼,酴醿,宋
471,459,荼蘼 (其一),酴醿,宋
472,460,荼蘼（其二）,酴醿,宋
473,461,点绛唇,酴醿,宋
474,462,点绛唇,酴醿,宋
475,463,鹪鸪天,酴醿,宋
476,464,洞仙歌,酴醿,宋
477,465,玲珑四犯,酴醿,宋
478,466,贺新郎,酴醿,宋
479,467,池上看金沙花数枝过酴醾架盛开,金沙,宋
480,468,池上看金沙花数枝过酴醾架盛开,金沙,宋
481,469,池上看金沙花,金沙,宋
482,470,金沙花,金沙,宋
483,471,琼 花,琼花,清
484,472,后土庙琼花诗二首,琼花,宋
485,473,琼 花,琼花,宋
486,474,琼 花,琼花,元
487,475,题扬州琼花,琼花,元
488,476,昭君怨,琼花,宋
489,477,丑奴儿,琼花,宋
490,478,虞美人,琼花,宋
491,479,扬州慢,琼花,宋
492,480,贺新郎,琼花,宋
493,481,喜迁莺,琼花,元
494,482,杨白花,杨花,魏
495,483,杨花落,杨花,唐
496,484,杨花吟,杨花,元
497,485,杨花篇,杨花,明
498,486,柳 絮,杨花,唐
499,487,柳 絮,杨花,宋
500,488,柳 絮,杨花,明
501,489,杨花咏,杨花,明
502,490,柳 絮,杨花,唐
503,491,柳絮,杨花,宋
504,492,杨 花,杨花,明
505,493,杨花诗,杨花,清
506,494,妆 成,杨花,隋
507,495,柳花词三首,杨花,唐
508,496,即 事,杨花,元
509,497,晚 春,杨花,唐
510,498,杨柳枝词,杨花,唐
511,499,柳 絮,杨花,唐
512,500,杨 花,杨花,唐
513,501,城上晚思,杨花,宋
514,502,柳 絮,杨花,宋
515,503,柳 絮,杨花,宋
516,504,飞 絮,杨花,元
517,505,如梦令,杨花,清
518,506,柳梢青,杨花,宋
519,507,减 兰,杨花,清
520,508,忆秦娥,杨花,清
521,509,南柯子,杨花,清
522,510,唐多令,杨花,清
523,511,临江仙,杨花,清
524,512,声声慢,杨花,宋
525,513,木兰花慢,杨花,清
526,514,水龙吟,杨花,宋
527,515,水龙吟,杨花,宋
528,516,水龙吟,杨花,明
529,517,清 明,杨花,宋
530,518,来禽花,杨花,宋
531,519,雨后同干誉、才卿置酒来禽花下作,虞美人,宋
532,520,念奴娇,虞美人,宋
533,521,木棉花歌,木棉花,清
534,522,咏木棉花,木棉花,清
535,523,春日杂诗,木棉花,清
