ID,诗名,朝代,花名,sxhy_imagery_count,sxhy_imagery_headings,sxhy_raw_words,sxhy_imagery_freq,sxhy_catalog_paths
265,风流子（出关见桃花）,清,桃花,23,春|月|沙|上巳|云峰|几|含笑花|地|城|山|怀古|故宫|早春|春郊|柳|桃花|梨花|海|渔矶|病马|秋日书怀|蜓|馆驿,春|月|一树|不定|东风|人何在|几|单衣|叠嶂|地|城|寂寞|山|曲水|柳|桃花|沙|海|玉容|瘦骨|草短|颓垣|风吹|风雨|驿使,月:3|春:3|沙:2|病马:1|秋日书怀:1|云峰:1|怀古:1|蜓:1|春郊:1|梨花:1|桃花:1|故宫:1|上巳:1|早春:1|含笑花:1|渔矶:1|馆驿:1|海:1|地:1|山:1|柳:1|城:1|几:1,卷一/时令类/春|卷一/天文类/月|卷一/地舆类/沙|卷一/节序类/上巳|卷一/天文类/云峰|卷三/器用类上/几|卷四/百花类/含笑花|卷一/地舆类/地|卷二/宫室类/城|卷一/地舆类/山|卷二/人事类/怀古|卷二/宫室类/故宫|卷一/时令类/早春|卷一/地舆类/春郊|卷四/树木类/柳|卷四/百花类/桃花|卷四/百花类/梨花|卷一/地舆类/海|卷一/地舆类/渔矶|卷四/走兽类/病马|卷一/时令类/秋日书怀|?/蜓|卷二/宫室类/馆驿
266,杏花,宋,杏花,6,井|帐|桃花|海棠|石|闲居,井|含笑|娇娆|帐|石|茅屋,闲居:1|海棠:1|桃花:1|石:1|井:1|帐:1,卷一/地舆类/井|卷三/服饰类/帐|卷四/百花类/桃花|?/海棠|卷一/地舆类/石|卷二/宫室类/闲居
267,江路见杏花,宋,杏花,10,冬日|寒食|春望|榴花|残菊|江湖|牡丹|秋暮|观|雨,云叶|岭梅|数枝|无语|浣花|红杏|胭脂|观|雨|风日,江湖:1|寒食:1|残菊:1|冬日:1|秋暮:1|春望:1|榴花:1|牡丹:1|雨:1|观:1,卷一/天文类/冬日|卷一/节序类/寒食|卷三/游眺类/春望|卷四/百花类/榴花|卷四/百花类/残菊|?/江湖|卷四/百花类/牡丹|卷一/时令类/秋暮|卷二/宫室类/观|卷一/天文类/雨
268,杏 花,唐,杏花,22,花|关隘|冬|园|地|天|山|旅中寒食|杏花|榴|江|渔鼓|猿|谷食|迁居|除夜|雨|雷|雾|风|飘|鹧鸪,花|冬|园|地|山|岭外|明年|杏花|杳杳|榴|江|猿|红曲|草木|西东|道人|阳气|雨|雾|风|飘|鹧鸪,花:2|杏花:1|谷食:1|旅中寒食:1|迁居:1|雷:1|鹧鸪:1|天:1|关隘:1|除夜:1|渔鼓:1|江:1|园:1|雨:1|风:1|冬:1|地:1|雾:1|山:1|榴:1|猿:1|飘:1,卷四/百花类/花|卷一/地舆类/关隘|卷一/时令类/冬|卷一/地舆类/园|卷一/地舆类/地|卷一/天文类/天|卷一/地舆类/山|卷一/节序类/旅中寒食|卷四/百花类/杏花|?/榴|卷一/地舆类/江|卷三/音乐类/渔鼓|?/猿|卷三/饮食类/谷食|卷二/宫室类/迁居|卷一/节序类/除夜|卷一/天文类/雨|卷一/天文类/雷|卷一/天文类/雾|卷一/天文类/风|?/飘|卷四/飞禽类/鹧鸪
269,月夜与客饮杏花下,宋,杏花,24,酒|夏夜|山城|早春|春|春日书怀|月|月桂|杏花|步月|水|游山|潮|画水|皓彩|秋夜|竹风|箫|萱草|送春|酒旗|酒杯|风|香,酒|东风|卷地|如流|山城|幽人|明月|春|月|月明中|月落|杏花|步月|残红|水|清香|箫|绿叶|花影|花间|酒杯|长条|飞帘|香,酒:2|杏花:1|风:1|夏夜:1|游山:1|步月:1|皓彩:1|画水:1|酒旗:1|月桂:1|萱草:1|山城:1|竹风:1|秋夜:1|酒杯:1|潮:1|早春:1|春日书怀:1|送春:1|春:1|水:1|香:1|月:1|箫:1,卷三/饮食类/酒|卷一/时令类/夏夜|卷二/宫室类/山城|卷一/时令类/早春|卷一/时令类/春|?/春日书怀|卷一/天文类/月|卷一/天文类/月桂|卷四/百花类/杏花|卷一/天文类/步月|卷一/地舆类/水|卷一/地舆类/游山|卷一/地舆类/潮|卷三/书画类/画水|?/皓彩|卷一/时令类/秋夜|卷一/天文类/竹风|卷三/音乐类/箫|卷三/百草类/萱草|卷一/时令类/送春|卷三/器用类上/酒旗|卷三/器用类上/酒杯|卷一/天文类/风|卷三/器用类下/香
270,古苑杏花,唐,杏花,5,寒食雨|春|杏花|榴花|远水,人愁|春|杏花|烧枝|茫茫,杏花:1|寒食雨:1|榴花:1|远水:1|春:1,卷一/节序类/寒食雨|卷一/时令类/春|卷四/百花类/杏花|卷四/百花类/榴花|?/远水
271,杏 花,唐,杏花,9,属|桂花|池|渔矶|烧|燕|蝶|香|龙,属|池|烟笼|燕|蝶|轻红|风雨|香|龙,桂花:1|烧:1|渔矶:1|池:1|燕:1|香:1|属:1|龙:1|蝶:1,?/属|卷四/百花类/桂花|卷一/地舆类/池|卷一/地舆类/渔矶|?/烧|卷四/飞禽类/燕|卷四/昆虫类/蝶|卷三/器用类下/香|卷四/鳞介类/龙
272,依韵和王几道途次杏花有感,宋,杏花,8,东宫属官|寒食雨|怀归|感|旅|春径|罗|莲花,仙葩|客心|感|故园|红蜡|罗|芳径|马上,寒食雨:1|春径:1|旅:1|东宫属官:1|莲花:1|怀归:1|罗:1|感:1,?/东宫属官|卷一/节序类/寒食雨|卷二/人事类/怀归|?/感|?/旅|?/春径|?/罗|卷四/百花类/莲花
273,杏 花,唐,杏花,6,俳优|园|浦|花|迁居|风,园|新开|江边|深浅|碧波|风,浦:1|俳优:1|花:1|迁居:1|风:1|园:1,卷二/人品类/俳优|卷一/地舆类/园|卷一/地舆类/浦|卷四/百花类/花|卷二/宫室类/迁居|卷一/天文类/风
274,初见杏花,宋,杏花,4,候|春风|暮冬|芙蓉,春风|江梅|浅红|烟林,春风:1|候:1|芙蓉:1|暮冬:1,?/候|卷一/天文类/春风|卷一/时令类/暮冬|?/芙蓉
275,和梅圣俞杏花,宋,杏花,3,春|春望|梅花,春|梅花|风日,梅花:1|春望:1|春:1,卷一/时令类/春|卷三/游眺类/春望|卷四/百花类/梅花
276,杏 花,宋,杏花,1,未开牡丹,天工,未开牡丹:1,卷四/百花类/未开牡丹
277,苏溪亭,唐,杏花,9,亭|岛屿|早春|春|杏花|渔矶|溪|草|鵞,东风|亭|春|杏花|溪|漫漫|烟雨|燕子|草,岛屿:1|早春:1|鵞:1|渔矶:1|杏花:1|溪:1|亭:1|草:1|春:1,卷二/宫室类/亭|卷一/地舆类/岛屿|卷一/时令类/早春|卷一/时令类/春|卷四/百花类/杏花|卷一/地舆类/渔矶|卷一/地舆类/溪|卷三/百草类/草|?/鵞
278,曲江红杏,唐,杏花,8,春|春风|沙|画花|益|花|莺|谢惠扇,一枝|春风|柳色|殷勤|江头|花|莺|遮日,沙:1|春:1|益:1|画花:1|谢惠扇:1|春风:1|莺:1|花:1,卷一/时令类/春|卷一/天文类/春风|卷一/地舆类/沙|卷三/书画类/画花|?/益|卷四/百花类/花|卷四/飞禽类/莺|卷三/谢惠类/谢惠扇
279,杏 花(其一),宋,杏花,8,寒食|早春|春色|楼|神童|落花|蔷薇|钱,买笑|垂杨|堆红|春来|春烟|曲槛|钱|风流,寒食:1|楼:1|落花:1|春色:1|早春:1|神童:1|蔷薇:1|钱:1,卷一/节序类/寒食|卷一/时令类/早春|卷一/时令类/春色|卷二/宫室类/楼|卷二/人品类/神童|卷四/百花类/落花|?/蔷薇|卷三/珍宝类/钱
280,杏 花(其二),宋,杏花,4,几|木笔花|渔矶|莺,几|繁枝|莺|风雨,渔矶:1|木笔花:1|几:1|莺:1,卷三/器用类上/几|卷四/百花类/木笔花|卷一/地舆类/渔矶|卷四/飞禽类/莺
281,杏 花(其三),宋,杏花,6,日|柳花|柿子|梅溪|残蝶|沙,十里|多情|扑人|枝上|绛雪|陌上,沙:1|柿子:1|残蝶:1|柳花:1|日:1|梅溪:1,卷一/天文类/日|卷四/百花类/柳花|卷四/百果类/柿子|卷一/地舆类/梅溪|卷四/昆虫类/残蝶|卷一/地舆类/沙
282,田家,宋,杏花,4,迁居|初日|虹|鸳妇,初日|春雨歇|杏花繁|林外鸣鸠|笑语|绿桑|高下,迁居:4|鸳妇:1|虹:1|初日:1,卷二/宫室类/迁居|?/初日|卷一/天文类/虹|?/鸳妇
283,北陂杏花,宋,杏花,8,尘|探春|早春|春|春水|美人|花|苦寒,东风|南陌|吹作雪|妖娆|尘|春|春水|花,春水:1|美人:1|早春:1|苦寒:1|探春:1|花:1|春:1|尘:1,卷一/地舆类/尘|卷一/时令类/探春|卷一/时令类/早春|卷一/时令类/春|卷一/地舆类/春水|卷二/丽人类/美人|卷四/百花类/花|卷一/时令类/苦寒
284,杏 花,宋,杏花,9,客亭|寒食|杏花|梨花|残菊|竹|苔|袁柳|风,一径|人语|垂杨|数枝|斜日|杏花|苔|萧萧|院落,寒食:1|竹:1|客亭:1|风:1|梨花:1|杏花:1|袁柳:1|残菊:1|苔:1,卷二/宫室类/客亭|卷一/节序类/寒食|卷四/百花类/杏花|卷四/百花类/梨花|卷四/百花类/残菊|卷四/竹木类/竹|卷三/百草类/苔|?/袁柳|卷一/天文类/风
285,春 晚,宋,杏花,7,园|春寒|春归|杏花|江湖|蕨|雨,小桥|带烟|春归|杏花|杨柳|蕨|雨,春寒:1|江湖:1|园:1|杏花:1|春归:1|蕨:1|雨:1,卷一/地舆类/园|卷一/时令类/春寒|卷一/时令类/春归|卷四/百花类/杏花|?/江湖|卷四/蔬菜类/蕨|卷一/天文类/雨
286,游园不值,宋,杏花,8,园|寒食|新竹|春色|樵径|画花|竹亭|莲塘,一枝|出墙|园|屐齿印|春色|柴扉|红杏|苍苔,樵径:1|莲塘:1|竹亭:1|春色:1|画花:1|寒食:1|新竹:1|园:1,卷一/地舆类/园|卷一/节序类/寒食|卷四/竹木类/新竹|卷一/时令类/春色|?/樵径|卷三/书画类/画花|卷二/宫室类/竹亭|卷一/地舆类/莲塘
287,杏 花,金,杏花,3,春风|酒旗|酴醿花,宫妆|春风|杏花墙,酒旗:1|酴醿花:1|春风:1,卷一/天文类/春风|卷三/器用类上/酒旗|卷四/百花类/酴醿花
288,杏 花,明,杏花,5,春寒|槐|烟|秋雨|花,墙边|春寒|烟|破晓|花,春寒:1|槐:1|秋雨:1|烟:1|花:1,卷一/时令类/春寒|卷四/树木类/槐|卷一/天文类/烟|卷一/天文类/秋雨|卷四/百花类/花
