ID,诗名,朝代,花名,sxhy_imagery_count,sxhy_imagery_headings,sxhy_raw_words,sxhy_imagery_freq,sxhy_catalog_paths
1024,贺新郎（客赠芍药）,宋,芍药,28,花|书|城|夏|寒食|寒食雨|方丈|日|早春|春|春日书怀|月|月夜访友|桥|梦|榴花|橘|残灯|残菊|洗砚|牡丹|祥云|竹|美人|老臣|重九|雨|鹤,花|万朵|东风|书|何处|关山|国色|城|天香|小窗|层层|岁月|座上|怅望|憔悴|扬州|数枝|日|春|梦|歌吹|点点|画堂|祥云|竹|老矣|迢递|鹤,花:2|橘:1|重九:1|榴花:1|洗砚:1|祥云:1|方丈:1|寒食雨:1|夏:1|美人:1|牡丹:1|月夜访友:1|早春:1|桥:1|残菊:1|残灯:1|春日书怀:1|月:1|寒食:1|老臣:1|雨:1|梦:1|书:1|城:1|竹:1|鹤:1|日:1|春:1,卷四/百花类/花|?/书|卷二/宫室类/城|卷一/时令类/夏|卷一/节序类/寒食|卷一/节序类/寒食雨|卷二/宫室类/方丈|卷一/天文类/日|卷一/时令类/早春|卷一/时令类/春|?/春日书怀|卷一/天文类/月|卷二/师友类/月夜访友|卷一/地舆类/桥|卷二/人事类/梦|卷四/百花类/榴花|?/橘|卷三/器用类下/残灯|卷四/百花类/残菊|卷三/器用类上/洗砚|卷四/百花类/牡丹|卷一/天文类/祥云|卷四/竹木类/竹|卷二/丽人类/美人|卷二/人品类/老臣|卷一/节序类/重九|卷一/天文类/雨|卷四/飞禽类/鹤
1026,虞美人草行,宋,虞美人,23,月|玉|亡|俳优|倦绣|初夏|台|地理|天|尊|帐|帷幙|怀古|旌旗|未开牡丹|梅溪|武士|沙|流水|笳|观|香|香印,玉|不语|亡|今古|佳人|兴亡|原上|哀怨|天|如雪|宫殿|寂寞|尊|帐|徘徊|旌旗|旧曲|月|水流|滔滔|烟烬|英雄|草芳|香,月:2|玉:2|沙:1|观:1|香印:1|武士:1|旌旗:1|帷幙:1|地理:1|初夏:1|台:1|笳:1|倦绣:1|未开牡丹:1|流水:1|梅溪:1|怀古:1|俳优:1|天:1|亡:1|帐:1|香:1|尊:1,卷一/天文类/月|卷三/珍宝类/玉|?/亡|卷二/人品类/俳优|卷二/丽人类/倦绣|卷一/时令类/初夏|卷二/宫室类/台|卷二/人品类/地理|卷一/天文类/天|?/尊|卷三/服饰类/帐|卷三/服饰类/帷幙|卷二/人事类/怀古|卷三/器用类上/旌旗|卷四/百花类/未开牡丹|卷一/地舆类/梅溪|卷二/人品类/武士|卷一/地舆类/沙|卷一/地舆类/流水|卷三/音乐类/笳|卷二/宫室类/观|卷三/器用类下/香|卷三/器用类上/香印
1027,虞美人,宋,虞美人,10,日|候|带|志气|春风|潮|祈雨|芳草|酒楼|黄葵,日|亭亭|带|得意|拔山|春风|歌声|精诚|芳草|青青,日:2|志气:1|芳草:1|春风:1|潮:1|祈雨:1|黄葵:1|候:1|酒楼:1|带:1,卷一/天文类/日|?/候|卷三/服饰类/带|卷二/志气类/志气|卷一/天文类/春风|卷一/地舆类/潮|卷一/天文类/祈雨|卷三/百草类/芳草|卷二/宫室类/酒楼|卷四/百花类/黄葵
1025,山枇杷,唐,山枇杷,34,山|云|枇杷|芙蓉|赠内|假山|城|孔雀|宝贝|客亭|山居|志气|怀归|日|春日书怀|春郊|果|水|水帘|沙|河|游春|溪|牡丹|甘蔗|益|秋兴|秋日|花|莲花|醉客|飘|馆驿|鱼,山|枇杷|一年|万里|乐天|乘传|九重|云|人醉|倾侧|压枝|因风|园中|天高|山花|幽花|日|日迟|柳枝|水|深山|溪|牡丹|珊瑚|秀色|红袖|纤茎|绛囊|绿珠|花|金线|陌上|隐雾|青山|飘|飞带|香苞,山:3|枇杷:2|芙蓉:2|云:2|赠内:2|牡丹:1|馆驿:1|秋兴:1|山居:1|果:1|莲花:1|客亭:1|孔雀:1|宝贝:1|甘蔗:1|水帘:1|益:1|志气:1|假山:1|醉客:1|春日书怀:1|春郊:1|怀归:1|鱼:1|秋日:1|河:1|城:1|游春:1|沙:1|花:1|飘:1|日:1|水:1|溪:1,卷一/地舆类/山|卷一/天文类/云|卷四/百果类/枇杷|?/芙蓉|卷二/人伦类/赠内|卷一/地舆类/假山|卷二/宫室类/城|卷四/飞禽类/孔雀|?/宝贝|卷二/宫室类/客亭|卷二/宫室类/山居|卷二/志气类/志气|卷二/人事类/怀归|卷一/天文类/日|?/春日书怀|卷一/地舆类/春郊|卷四/百果类/果|卷一/地舆类/水|卷一/地舆类/水帘|卷一/地舆类/沙|卷一/地舆类/河|卷一/时令类/游春|卷一/地舆类/溪|卷四/百花类/牡丹|卷四/百果类/甘蔗|?/益|卷一/时令类/秋兴|?/秋日|卷四/百花类/花|卷四/百花类/莲花|卷二/人品类/醉客|?/飘|卷二/宫室类/馆驿|卷四/鳞介类/鱼
1017,蝶恋花,宋,梨花,11,寒食|上元|旌旗|春色|春雨|春风|烟|秋风|花|重九|阁,丹青|凄凉|天际|寒食|年年|摇曳|春雨|春风|秋千|翠袖|花|阑干,寒食:2|旌旗:1|春风:1|上元:1|重九:1|烟:1|春雨:1|阁:1|春色:1|秋风:1|花:1,卷一/节序类/寒食|卷一/节序类/上元|卷三/器用类上/旌旗|卷一/时令类/春色|卷一/天文类/春雨|卷一/天文类/春风|卷一/天文类/烟|卷一/天文类/秋风|卷四/百花类/花|卷一/节序类/重九|卷二/宫室类/阁
1015,清平乐,金,杏花,13,溪|不出院僧|冬雨|山茶花|捣药|敬贤|春|村居|桃花|梅花|楼|残灯|酴醿花,溪|到处|春|春早|月底|梅花|梦想|横斜|疏影|竹篱|笑风|花开|茅舍,溪:2|山茶花:1|不出院僧:1|残灯:1|捣药:1|酴醿花:1|梅花:1|桃花:1|冬雨:1|敬贤:1|村居:1|楼:1|春:1,卷一/地舆类/溪|卷二/释老类/不出院僧|卷一/天文类/冬雨|卷四/百花类/山茶花|?/捣药|卷二/君道类/敬贤|卷一/时令类/春|卷二/宫室类/村居|卷四/百花类/桃花|卷四/百花类/梅花|卷二/宫室类/楼|卷三/器用类下/残灯|卷四/百花类/酴醿花
1014,南圃杏花,唐,棣棠,11,十六夜月|帘|春寒|春雨|梅溪|榴花|水帘|玉|珍珠花|画梅|风,万点|帘|春寒|春雨|昨夜|枝头|玉|绛雪|胭脂|蓓蕾|风,榴花:1|水帘:1|春寒:1|画梅:1|珍珠花:1|梅溪:1|十六夜月:1|春雨:1|风:1|玉:1|帘:1,卷一/天文类/十六夜月|卷三/器用类上/帘|卷一/时令类/春寒|卷一/天文类/春雨|卷一/地舆类/梅溪|卷四/百花类/榴花|卷一/地舆类/水帘|卷三/珍宝类/玉|卷四/百花类/珍珠花|卷三/书画类/画梅|卷一/天文类/风
1010,桃花行,清,桃花,38,花|帘|桃花|早春|春日书怀|月|枕|榴花|苔|假山|日影|春|春归|春色|木笔花|杏花|梨花|楼|水|水帘|江湖|沙|泉|烟|烧|画山水|祥云|秋晴|芙蓉|观|赠内|送别|锦|雪晴|雷|风|香|鸳鸯,花|帘|桃花|东风|憔悴|月|枕|胭脂|一声|凭栏|天机|寂寞|庭前|春|春归|春色|春酣|有意|桃叶|楼|水|泉|泪眼|满庭|烟|烧|红叶|纷纷|苔|观|锦|长流|院落|隔帘|风|风吹|香|鲜艳|鸳鸯|黄昏,花:11|帘:10|桃花:9|早春:3|春日书怀:3|月:3|苔:2|榴花:2|枕:2|木笔花:1|日影:1|沙:1|假山:1|春色:1|梨花:1|雪晴:1|赠内:1|祥云:1|秋晴:1|画山水:1|鸳鸯:1|芙蓉:1|杏花:1|水帘:1|送别:1|江湖:1|雷:1|春归:1|风:1|烟:1|楼:1|烧:1|锦:1|水:1|香:1|泉:1|观:1|春:1,卷四/百花类/花|卷三/器用类上/帘|卷四/百花类/桃花|卷一/时令类/早春|?/春日书怀|卷一/天文类/月|卷三/器用类上/枕|卷四/百花类/榴花|卷三/百草类/苔|卷一/地舆类/假山|卷一/天文类/日影|卷一/时令类/春|卷一/时令类/春归|卷一/时令类/春色|卷四/百花类/木笔花|卷四/百花类/杏花|卷四/百花类/梨花|卷二/宫室类/楼|卷一/地舆类/水|卷一/地舆类/水帘|?/江湖|卷一/地舆类/沙|卷一/地舆类/泉|卷一/天文类/烟|?/烧|卷三/书画类/画山水|卷一/天文类/祥云|卷一/天文类/秋晴|?/芙蓉|卷二/宫室类/观|卷二/人伦类/赠内|卷三/祖饯类/送别|卷三/珍宝类/锦|卷一/天文类/雪晴|卷一/天文类/雷|卷一/天文类/风|卷三/器用类下/香|卷四/飞禽类/鸳鸯
595,咏邻女东窗海石榴,唐,榴花,9,宝贝|星|月桂|榴|海|祥云|罗|莲塘|远水,光辉|榴|海|清香|珊瑚|绿水|罗|落日|随风,宝贝:1|莲塘:1|星:1|月桂:1|祥云:1|远水:1|海:1|榴:1|罗:1,?/宝贝|卷一/天文类/星|卷一/天文类/月桂|?/榴|卷一/地舆类/海|卷一/天文类/祥云|?/罗|卷一/地舆类/莲塘|?/远水
596,赋园中所有,宋,榴花,13,病|榴|石|花|亡|候|喜雪|春风|李花|火|牡丹|瓜|送春,病|榴|石|花|候|及时|开花|最盛|残红|火|瓜|芳心|零落,病:3|石:2|榴:2|花:2|喜雪:1|春风:1|牡丹:1|李花:1|送春:1|亡:1|火:1|候:1|瓜:1,?/病|?/榴|卷一/地舆类/石|卷四/百花类/花|?/亡|?/候|卷一/天文类/喜雪|卷一/天文类/春风|卷四/百花类/李花|卷三/器用类上/火|卷四/百花类/牡丹|卷四/百果类/瓜|卷一/时令类/送春
597,榴 花,明,榴花,8,花|上元|候|园|密笼|扇|松|石,亭亭|参差|团团|园|相映|石|花|花市|高枝,花:2|扇:1|候:1|上元:1|松:1|密笼:1|园:1|石:1,卷四/百花类/花|卷一/节序类/上元|?/候|卷一/地舆类/园|?/密笼|卷三/器用类上/扇|卷四/树木类/松|卷一/地舆类/石
598,榴 花,金,榴花,9,山|月|榴|画|石|花|茶|葵|诗,千里|山|榴|画|石|花|茶|葵|诗,月:1|山:1|茶:1|葵:1|石:1|榴:1|花:1|诗:1|画:1,卷一/地舆类/山|卷一/天文类/月|?/榴|卷三/书画类/画|卷一/地舆类/石|卷四/百花类/花|卷三/饮食类/茶|卷四/蔬菜类/葵|卷二/文学类/诗
599,海 榴,唐,榴花,10,东宫属官|春风|榴|海|珠|石|纸|美人|花|药园,一笑|似火|成丛|春风|榴|海|珠|红蜡|花|裁笺,石:1|春风:1|纸:1|东宫属官:1|药园:1|美人:1|海:1|榴:1|花:1|珠:1,?/东宫属官|卷一/天文类/春风|?/榴|卷一/地舆类/海|卷三/珍宝类/珠|卷一/地舆类/石|卷三/器用类上/纸|卷二/丽人类/美人|卷四/百花类/花|卷一/地舆类/药园
600,西园石榴开,宋,榴花,11,初日|台|夏|山行|春日书怀|榴花|舟|送春|采梅|野|香,乘兴|初日|台|夏|携酒去|榴花|绿叶|莺啼|跻攀|野|香,山行:1|榴花:1|春日书怀:1|送春:1|初日:1|舟:1|采梅:1|台:1|野:1|夏:1|香:1,?/初日|卷二/宫室类/台|卷一/时令类/夏|卷三/游眺类/山行|?/春日书怀|卷四/百花类/榴花|卷三/器用类上/舟|卷一/时令类/送春|?/采梅|?/野|卷三/器用类下/香
601,榴 花,宋,榴花,3,榴花|沙|虹,榴花|窈窕|风吹,虹:1|榴花:1|沙:1,卷四/百花类/榴花|卷一/地舆类/沙|卷一/天文类/虹
602,咏石榴花,元,榴花,3,云|春风|芭蕉,千重|春风|红花,云:1|芭蕉:1|春风:1,卷一/天文类/云|卷一/天文类/春风|卷三/百草类/芭蕉
603,榴 花,唐,榴花,6,榴花|地|寒食雨|月|秋径|蓼花,地|无车马|月|榴花|照眼|绛英|青苔,榴花:2|寒食雨:1|秋径:1|蓼花:1|月:1|地:1,卷四/百花类/榴花|卷一/地舆类/地|卷一/节序类/寒食雨|卷一/天文类/月|?/秋径|卷四/百花类/蓼花
604,山寺看海榴花,唐,榴花,7,几|地|夏夜|宝贝|怀友|雷|霞,几|十年|地|月明|火光|琉璃|霞,宝贝:1|怀友:1|夏夜:1|雷:1|地:1|几:1|霞:1,卷三/器用类上/几|卷一/地舆类/地|卷一/时令类/夏夜|?/宝贝|卷二/师友类/怀友|卷一/天文类/雷|卷一/天文类/霞
605,榴 花,元,榴花,8,夏|春郊|杏花|榴花|槐|火|珍珠花|芙蓉,枝头|游蜂|火|猩血|生香|绛囊|绿云|薰风,榴花:1|芙蓉:1|槐:1|杏花:1|春郊:1|珍珠花:1|夏:1|火:1,卷一/时令类/夏|卷一/地舆类/春郊|卷四/百花类/杏花|卷四/百花类/榴花|卷四/树木类/槐|卷三/器用类上/火|卷四/百花类/珍珠花|?/芙蓉
606,南歌子,元,榴花,16,台|名利|喜雪|夜宴|巾|枕|榴|槐|池|游春|玉|画花|登第|石|美人|龙眼,一枝|云髻|冰簟|千点|台|巾|榴|池|玉|看花|石|紫陌寻春|红尘|绿云|金樽|青子,登第:1|名利:1|游春:1|画花:1|枕:1|美人:1|夜宴:1|槐:1|龙眼:1|喜雪:1|石:1|榴:1|玉:1|巾:1|池:1|台:1,卷二/宫室类/台|卷二/仕宦类/名利|卷一/天文类/喜雪|卷二/人事类/夜宴|卷三/服饰类/巾|卷三/器用类上/枕|?/榴|卷四/树木类/槐|卷一/地舆类/池|卷一/时令类/游春|卷三/珍宝类/玉|卷三/书画类/画花|卷二/仕进类/登第|卷一/地舆类/石|卷二/丽人类/美人|卷四/百果类/龙眼
607,庆清朝,宋,榴花,19,春|刺史|地|夏|寒食雨|探春|新秋|枇杷|残星|殿|玉|珍珠花|石碁盘|花|药园|蓼花|虹|重九|阁,春|地|山中|年年|成丛|数点|无车马|朱幡|枝头|殿|玉|窈窕|绛英|花|薰风|蜡珠|西风|载酒|阁,春:2|重九:1|夏:1|虹:1|探春:1|珍珠花:1|枇杷:1|药园:1|刺史:1|蓼花:1|寒食雨:1|石碁盘:1|新秋:1|残星:1|玉:1|殿:1|阁:1|地:1|花:1,卷一/时令类/春|卷二/百官类/刺史|卷一/地舆类/地|卷一/时令类/夏|卷一/节序类/寒食雨|卷一/时令类/探春|卷一/时令类/新秋|卷四/百果类/枇杷|卷一/天文类/残星|卷二/宫室类/殿|卷三/珍宝类/玉|卷四/百花类/珍珠花|?/石碁盘|卷四/百花类/花|卷一/地舆类/药园|卷四/百花类/蓼花|卷一/天文类/虹|卷一/节序类/重九|卷二/宫室类/阁
608,贺新郎,宋,榴花,21,花|丽情|云|井|人品类|几|喜雪|夏|天|巾|帘|扇|新秋|春夜|未开杏花|榴|画花|石|纸|贺生女|雪意,花|一枝|乳燕|似玉|千重|半吐|华屋|困倚|对酒|巾|帘|扇|桐阴|梦断|榴|瑶台|白团扇|石|簌簌|西风|风敲竹,花:2|夏:1|贺生女:1|井:1|丽情:1|纸:1|几:1|雪意:1|天:1|春夜:1|未开杏花:1|画花:1|云:1|新秋:1|人品类:1|喜雪:1|扇:1|帘:1|石:1|榴:1|巾:1,卷四/百花类/花|卷二/丽人类/丽情|卷一/天文类/云|卷一/地舆类/井|?/人品类|卷三/器用类上/几|卷一/天文类/喜雪|卷一/时令类/夏|卷一/天文类/天|卷三/服饰类/巾|卷三/器用类上/帘|卷三/器用类上/扇|卷一/时令类/新秋|卷一/时令类/春夜|卷四/百花类/未开杏花|?/榴|卷三/书画类/画花|卷一/地舆类/石|卷三/器用类上/纸|卷三/庆吊类/贺生女|卷一/天文类/雪意
609,石竹咏,唐,石竹,2,夹竹桃|芭蕉扇,弃置|绿枝,夹竹桃:1|芭蕉扇:1,?/夹竹桃|卷三/器用类上/芭蕉扇
610,石竹花,宋,石竹,3,竹|春|花,竹|春|花,竹:2|花:1|春:1,卷四/竹木类/竹|卷一/时令类/春|卷四/百花类/花
611,石竹花,宋,石竹,7,地|春归|春风|游春|竹溪|药园|迁居,地|幽谷|成丛|春归|春风|浅浅|车马,春归:1|迁居:1|药园:1|竹溪:1|游春:1|春风:1|地:1,卷一/地舆类/地|卷一/时令类/春归|卷一/天文类/春风|卷一/时令类/游春|卷一/地舆类/竹溪|卷一/地舆类/药园|卷二/宫室类/迁居
612,赋石竹,元,石竹,2,云|采梅,点缀|短篱,采梅:1|云:1,卷一/天文类/云|?/采梅
613,咏栀子花,明,栀子花,15,春|秋|云|人品类|冬|夏|天|山城|月|江湖|泉声|白鸡|秋晴|芳草|蕙草,春|秋|冰雪姿|匝地|夏|天|岁寒|幽香|断续|松柏|桂华|梦回|清风|炎炎|露滋,春:2|秋:2|月:1|蕙草:1|云:1|白鸡:1|山城:1|冬:1|江湖:1|泉声:1|人品类:1|秋晴:1|芳草:1|天:1|夏:1,卷一/时令类/春|卷一/时令类/秋|卷一/天文类/云|?/人品类|卷一/时令类/冬|卷一/时令类/夏|卷一/天文类/天|卷二/宫室类/山城|卷一/天文类/月|?/江湖|卷一/地舆类/泉声|卷四/飞禽类/白鸡|卷一/天文类/秋晴|卷三/百草类/芳草|?/蕙草
614,雨过山村,唐,栀子花,7,中庭|喜雪|庐山|竹溪|花|郊居|雨,中庭|村路|板桥|竹溪|花|雨|鸡鸣,庐山:1|竹溪:1|郊居:1|喜雪:1|中庭:1|雨:1|花:1,?/中庭|卷一/天文类/喜雪|卷一/地舆类/庐山|卷一/地舆类/竹溪|卷四/百花类/花|卷二/宫室类/郊居|卷一/天文类/雨
615,栀 子,宋,栀子花,5,含笑花|席|月台|水|画山,寒玉|峰峦|月中|水|香清,画山:1|含笑花:1|席:1|月台:1|水:1,卷四/百花类/含笑花|卷三/器用类上/席|卷二/宫室类/月台|卷一/地舆类/水|卷三/书画类/画山
616,蜀 葵,明,蜀葵,5,天|春色|花|雨|霞,天|天阴|花|雨|霞,春色:1|霞:1|天:1|雨:1|花:1,卷一/天文类/天|卷一/时令类/春色|卷四/百花类/花|卷一/天文类/雨|卷一/天文类/霞
617,春日忆山中故居,清,桐花,7,丽情|冬日书怀|冬雨|新秋|早春|烛|花,三年|乱洒|墙头|春来|梧桐|花|院中,早春:1|冬日书怀:1|新秋:1|丽情:1|冬雨:1|烛:1|花:1,卷二/丽人类/丽情|卷一/时令类/冬日书怀|卷一/天文类/冬雨|卷一/时令类/新秋|卷一/时令类/早春|卷三/器用类下/烛|卷四/百花类/花
618,桐,清,桐花,7,园亭|新秋|春夜|秋|纸帐|院|雨,晚风|桐叶|清阴|竹床|花香|院|雨,秋:1|新秋:1|春夜:1|园亭:1|纸帐:1|雨:1|院:1,卷二/宫室类/园亭|卷一/时令类/新秋|卷一/时令类/春夜|卷一/时令类/秋|卷三/服饰类/纸帐|?/院|卷一/天文类/雨
619,采莲曲,南朝梁,莲花,6,海棠|白莲花|芙蓉|菱角|送别|风,日照|牵衣|芙蓉|菱角|采莲|风,海棠:1|白莲花:1|芙蓉:1|菱角:1|送别:1|风:1,?/海棠|卷四/百花类/白莲花|?/芙蓉|卷四/百果类/菱角|卷三/祖饯类/送别|卷一/天文类/风
620,采莲,南朝梁,莲花,7,初夏|带|白莲花|红梅|罗|锦|鹏,三千里|带|江南|罗|花钿|荷花|锦,白莲花:1|红梅:1|鹏:1|初夏:1|锦:1|带:1|罗:1,卷一/时令类/初夏|卷三/服饰类/带|卷四/百花类/白莲花|卷四/百花类/红梅|?/罗|卷三/珍宝类/锦|卷四/飞禽类/鹏
621,采莲曲,南朝梁,莲花,10,夏|木|江|浦|渡|白菊|红梅|花|雨伞|香,木|柄曲|江|江南|浦|渡|花|荷叶|风茎|香,红梅:1|夏:1|雨伞:1|白菊:1|木:1|香:1|浦:1|渡:1|江:1|花:1,卷一/时令类/夏|卷四/竹木类/木|卷一/地舆类/江|卷一/地舆类/浦|卷一/地舆类/渡|卷四/百花类/白菊|卷四/百花类/红梅|卷四/百花类/花|卷三/器用类上/雨伞|卷三/器用类下/香
622,咏江南可采莲,南朝梁,莲花,10,元日|地|夏|月|流水|红梅|芙蓉|重九|风|香,不穷|地|夏|年年|春初|月|江南|芙蓉|风|香,元日:1|芙蓉:1|红梅:1|重九:1|流水:1|夏:1|月:1|香:1|风:1|地:1,?/元日|卷一/地舆类/地|卷一/时令类/夏|卷一/天文类/月|卷一/地舆类/流水|卷四/百花类/红梅|?/芙蓉|卷一/节序类/重九|卷一/天文类/风|卷三/器用类下/香
623,赋得涉江采芙蓉,南朝陈,莲花,9,冬|夏|渡|皓彩|舟|芙蓉|莲塘|蜓|霞,不定|为裳|更长|渡|舟|芙蓉|花影|荷香|菱歌,芙蓉:1|皓彩:1|夏:1|蜓:1|莲塘:1|冬:1|霞:1|渡:1|舟:1,卷一/时令类/冬|卷一/时令类/夏|卷一/地舆类/渡|?/皓彩|卷三/器用类上/舟|?/芙蓉|卷一/地舆类/莲塘|?/蜓|卷一/天文类/霞
624,咏同心芙蓉,隋,莲花,8,白莲花|上巳|候|初夏|女壻|杨梅|烛|风,一茎|亭亭|分红|水中|灼灼|舞衣|荷花|风|香乱,白莲花:2|烛:1|初夏:1|候:1|上巳:1|杨梅:1|女壻:1|风:1,卷四/百花类/白莲花|卷一/节序类/上巳|?/候|卷一/时令类/初夏|卷二/人伦类/女壻|卷四/百果类/杨梅|卷三/器用类下/烛|卷一/天文类/风
625,采莲曲,隋,莲花,6,云|溪居|舟|藕|陂塘|风,舟|莲叶|藕|解缆|随意|风,陂塘:1|云:1|溪居:1|舟:1|风:1|藕:1,卷一/天文类/云|卷二/宫室类/溪居|卷三/器用类上/舟|卷四/百果类/藕|卷一/地舆类/陂塘|卷一/天文类/风
626,秋池一株莲,隋,莲花,3,云|江湖|秋,从风|凌波|秋,江湖:1|云:1|秋:1,卷一/天文类/云|?/江湖|卷一/时令类/秋
627,古 风(其二十六),唐,莲花,12,书牕|假山|月桂|歌妓|泉|秋|罗|花|莲塘|赏花|香炉|马乳,华池|密叶|朝日|泉|秀色|秋|绿水|罗|花|青烟|飞霜|馨香,书牕:1|莲塘:1|月桂:1|香炉:1|假山:1|歌妓:1|马乳:1|赏花:1|泉:1|秋:1|花:1|罗:1,卷二/宫室类/书牕|卷一/地舆类/假山|卷一/天文类/月桂|卷二/丽人类/歌妓|卷一/地舆类/泉|卷一/时令类/秋|?/罗|卷四/百花类/花|卷一/地舆类/莲塘|卷四/百花类/赏花|卷三/器用类上/香炉|卷三/饮食类/马乳
628,折荷有赠,唐,莲花,10,天|帐|帷幙|怀友|江|珠|秋|秋水|芳草|观,佳人|凉风|天|帐|彩云|江|珠|相思|秋水|荡漾,秋水:1|芳草:1|帷幙:1|观:1|怀友:1|秋:1|江:1|珠:1|天:1|帐:1,卷一/天文类/天|卷三/服饰类/帐|卷三/服饰类/帷幙|卷二/师友类/怀友|卷一/地舆类/江|卷三/珍宝类/珠|卷一/时令类/秋|卷一/地舆类/秋水|卷三/百草类/芳草|卷二/宫室类/观
629,子夜吴歌(其二),唐,莲花,8,初夏|待月|新秋|月|牧童|舟|镜|雷,回舟|归去|待月|月|百里|荷花|菡萏|镜,雷:1|新秋:1|初夏:1|舟:1|待月:1|牧童:1|镜:1|月:1,卷一/时令类/初夏|卷一/天文类/待月|卷一/时令类/新秋|卷一/天文类/月|卷二/人品类/牧童|卷三/器用类上/舟|卷三/器用类上/镜|卷一/天文类/雷
630,越 女,唐,莲花,7,芙蓉|春暮|水|江亭|箜篌|舟|花,芙蓉|将归|水|清江|湖上|舟|花,芙蓉:2|箜篌:1|江亭:1|春暮:1|舟:1|水:1|花:1,?/芙蓉|卷一/时令类/春暮|卷一/地舆类/水|卷二/宫室类/江亭|卷三/音乐类/箜篌|卷三/器用类上/舟|卷四/百花类/花
631,东林寺白莲,唐,莲花,22,喜雪|上巳|僧|剪刀|城|夏|尘|新秋|旱|月|水|水亭|池|画|秋|秋凉|芙蓉|花|蕙草|诏令|道士|香,不生|东林|僧|出山|城|夏|夜深|尘|水|池|清净|清飚|湛湛|玉盘|琼瑶|白日|秋|红莲|芙蓉|花|芳馨|菡萏|香,喜雪:2|上巳:1|芙蓉:1|新秋:1|旱:1|秋凉:1|蕙草:1|月:1|水亭:1|道士:1|剪刀:1|诏令:1|画:1|水:1|香:1|尘:1|花:1|夏:1|秋:1|僧:1|池:1|城:1,卷一/天文类/喜雪|卷一/节序类/上巳|卷二/释老类/僧|卷三/器用类上/剪刀|卷二/宫室类/城|卷一/时令类/夏|卷一/地舆类/尘|卷一/时令类/新秋|卷一/天文类/旱|卷一/天文类/月|卷一/地舆类/水|卷二/宫室类/水亭|卷一/地舆类/池|卷三/书画类/画|卷一/时令类/秋|卷一/时令类/秋凉|?/芙蓉|卷四/百花类/花|?/蕙草|卷二/君道类/诏令|卷二/释老类/道士|卷三/器用类下/香
632,京兆府新栽莲·,唐,莲花,12,水|溪|名利|日|春日书怀|桧|歌妓|甘蔗|笋|花|莲花|除夜,水|溪|人事|得地|憔悴|日|污泥|田田|红尘|花|门前|馨香,水:2|溪:2|莲花:1|甘蔗:1|歌妓:1|名利:1|除夜:1|桧:1|春日书怀:1|笋:1|日:1|花:1,卷一/地舆类/水|卷一/地舆类/溪|卷二/仕宦类/名利|卷一/天文类/日|?/春日书怀|卷四/树木类/桧|卷二/丽人类/歌妓|卷四/百果类/甘蔗|卷四/竹木类/笋|卷四/百花类/花|卷四/百花类/莲花|卷一/节序类/除夜
633,与王郎昆仲及儿子迈绕城观荷,宋,莲花,15,舟|上元|十六夜月|城|悲秋|日|月|浦|海|渔父|溪|秋|秋色|贺新居|雨,一叶|十里|城|处处|昨夜|月|来风|水清|浦|海|溪|白发|秋|舟|避世|雨,舟:2|十六夜月:1|贺新居:1|秋色:1|日:1|上元:1|渔父:1|悲秋:1|雨:1|月:1|秋:1|溪:1|城:1|浦:1|海:1,卷三/器用类上/舟|卷一/节序类/上元|卷一/天文类/十六夜月|卷二/宫室类/城|卷一/时令类/悲秋|卷一/天文类/日|卷一/天文类/月|卷一/地舆类/浦|卷一/地舆类/海|卷二/人品类/渔父|卷一/地舆类/溪|卷一/时令类/秋|卷一/时令类/秋色|卷三/庆吊类/贺新居|卷一/天文类/雨
634,荷花,宋,莲花,19,秋水|虹|书简|官|怀友|慵粧|旅舍|月|江|渔矶|渡|燕|画鹰|秋暮|秋望|纸|美人|远水|酒,秋水|天涯|娟娟|官|归云|摇落|无言|江|渡|燕|独立|相思|美人|落日|薄暮|遥岑|酒|雨脚|风雨|黄金,虹:2|秋水:2|远水:1|纸:1|慵粧:1|旅舍:1|秋望:1|怀友:1|美人:1|书简:1|秋暮:1|月:1|渔矶:1|画鹰:1|渡:1|酒:1|燕:1|江:1|官:1,卷一/地舆类/秋水|卷一/天文类/虹|卷二/文学类/书简|?/官|卷二/师友类/怀友|卷二/丽人类/慵粧|卷二/宫室类/旅舍|卷一/天文类/月|卷一/地舆类/江|卷一/地舆类/渔矶|卷一/地舆类/渡|卷四/飞禽类/燕|卷三/书画类/画鹰|卷一/时令类/秋暮|卷三/游眺类/秋望|卷三/器用类上/纸|卷二/丽人类/美人|?/远水|卷三/饮食类/酒
635,玉井事观荷,宋,荷花,12,宝贝|星|桃花|水|流杯|珠|石|笔|织妇|罗|酒|钱,水|水精|流杯|照日|珠|琉璃|笔|红玉|罗|辛勤|酒|钱,桃花:1|石:1|星:1|宝贝:1|流杯:1|织妇:1|罗:1|珠:1|酒:1|笔:1|钱:1|水:1,?/宝贝|卷一/天文类/星|卷四/百花类/桃花|卷一/地舆类/水|卷三/器用类上/流杯|卷三/珍宝类/珠|卷一/地舆类/石|卷三/器用类上/笔|卷二/丽人类/织妇|?/罗|卷三/饮食类/酒|卷三/珍宝类/钱
