ID,诗名,花名,sxhy_heading,sxhy_raw_words,manual_imagery,共有原词,仅诗学含英原词,仅手工词典,共有词数,sxhy_heading_数,sxhy_raw词数,manual词数
483,杨花落,杨花,春|园|北斗|寒食|如昼|清明|天|竹风|夏风|寒食雨|陂塘|风|罗,春|北斗|老红|垂杨|此时|杨柳|花落|手捧|历历|瑶琴|桃李|杨花|风|罗|园,人|春|暮|杨柳|杨花|桃|玉|琴|花|花落|芳|风,春|杨柳|杨花|花落|风,北斗|历历|园|垂杨|手捧|桃李|此时|瑶琴|罗|老红,人|暮|桃|玉|琴|花|芳,5,13,15,12
484,杨花吟,杨花,陂塘|祥云|冬风|沙|上元|天|渡|水|春水|待月|园|烧|游春|夏|远水|雪意|虹|梅溪|春日书怀|冬雨|春,杨花|吴江|随风|天|渡|水|春水|江上|风吹|杨柳|惹草|花径|楼阁|连天|千门|纷纷|如雪|珠帘|处处|美人|点春衣|梦魂|片片|春,天|天涯|帘|愁|春|春水|杨柳|杨花|楼|榭|水|江|流|渡|珠|空|美人|花|草|莺|蝶|阁|雪|风,天|春|春水|杨柳|杨花|水|渡|美人,千门|吴江|处处|如雪|惹草|梦魂|楼阁|江上|点春衣|片片|珠帘|纷纷|花径|连天|随风|风吹,天涯|帘|愁|楼|榭|江|流|珠|空|花|草|莺|蝶|阁|雪|风,8,21,24,24
485,杨花篇,杨花,春|立春|冬雨|冬风|沙|日影|祥云|海|月|烟|日|天|地,春|青杨|飞花|吴江|江头|离离|随风|沧波|月|烟|日|天|地,人|地|天|客|怨|愁|旌|日|春|暮|月|杨柳|江|波|流|湖|烟|花|豪|雪|风|飞花|香,地|天|日|春|月|烟|飞花,吴江|江头|沧波|离离|随风|青杨,人|客|怨|愁|旌|暮|杨柳|江|波|流|湖|花|豪|雪|风|香,7,13,13,23
486,柳 絮,杨花,春|云,春|因风,春|杯|花|芳|雪|风,春,因风,杯|花|芳|雪|风,1,2,2,6
487,柳 絮,杨花,春风|喜雪|冬雨|风|地|云,开花|团圆|灞桥|风|地|云,地|孤|客|桥|泪|浮云|花|风|马,地|风,云|团圆|开花|灞桥,孤|客|桥|泪|浮云|花|马,2,6,6,9
488,柳 絮,杨花,探春|石洞|远水|春|云|沙,灞陵|水面|茫茫|春|云|沙,云|哀|岸|春|晓|水|沙|鱼,云|春|沙,水面|灞陵|茫茫,哀|岸|晓|水|鱼,3,6,6,8
489,杨花咏,杨花,云|夏|关隘|风,冉冉|戏蝶|西东|风,柳|空|蝶|雪|风,风,冉冉|戏蝶|西东,柳|空|蝶|雪,1,4,4,5
490,柳 絮,杨花,云|探春|云峰|春|风|河|江,南陌|漠漠|题诗|点缀|春|风|河|江,人|春|暖|江|河|津|玉楼|笔|花|蝶|酒|雪|风,春|江|河|风,南陌|漠漠|点缀|题诗,人|暖|津|玉楼|笔|花|蝶|酒|雪,4,7,8,13
491,柳絮,杨花,烟|送春|河汉|渡口|春,万条|残红|银河|问津|春,人|关|塞|春|柳|河|津|花|蓬莱|蝶|酒|银|陶令|雪,春,万条|残红|银河|问津,人|关|塞|柳|河|津|花|蓬莱|蝶|酒|银|陶令|雪,1,5,5,14
492,杨 花,杨花,沙|送春|尘|日影|夏|月|春|水|天,江头|送春|随马|隔帘|青萍|月|春|水|天,人|天|帘|春|月|根|水|江|燕|雪|香|马|鱼,天|春|月|水,江头|送春|随马|隔帘|青萍,人|帘|根|江|燕|雪|香|马|鱼,4,9,9,13
493,杨花诗,杨花,天|园|冬雨|梅溪|喜雪|月|春,杨柳|飞花|水流|无声|飘荡|月|春|天,人|天涯|春|月|杨柳|水|流|雪|飞花,春|月|杨柳|飞花,天|无声|水流|飘荡,人|天涯|水|流|雪,4,7,8,9
494,妆 成,杨花,陂塘|早春,杨花|春来,悲|春|杨花,杨花,春来,悲|春,1,2,2,3
495,柳花词三首,杨花,游春|清明|春昼|雪意|山|春暮|市井|上元遇雪|春|地|天,香风|花落|风轻|黯黯|送青|春暮|千家|万家|春|地|天,人|地|天|春|暮|空|花落|雪|风|香,地|天|春|花落,万家|千家|春暮|送青|风轻|香风|黯黯,人|暮|空|雪|风|香,4,11,11,10
496,即 事,杨花,冬雨|春归|早春,柳絮|春归|东风,东风|春|柳,东风,春归|柳絮,春|柳,1,3,3,3
497,晚 春,杨花,园|陂塘|冬雨|春|天,红紫|杨花|作雪|春|天,天|春|杨花|芳|草|雪,天|春|杨花,作雪|红紫,芳|草|雪,3,5,5,6
498,杨柳枝词,杨花,沙|不见|水|春|风,如雪|不见|水|春|风,人|春|柳|水|花|雪|风,春|水|风,不见|如雪,人|柳|花|雪,3,5,5,7
499,柳 絮,杨花,陂塘|春风|月,杨花|春风|月,人|春风|月|杨花,春风|月|杨花,,人,3,3,3,4
500,杨 花,杨花,祥云|上元|假山|日,随风|处处|庭前|日,人|日|花|雪|风,日,处处|庭前|随风,人|花|雪|风,1,4,4,5
501,城上晚思,杨花,风|远水|云峰|清明|新秋|山,苍梧|落日|如画|柳花|晚风|山,山|岸|柳|梧|洞庭|花|落日|风,山|落日,如画|晚风|柳花|苍梧,岸|柳|梧|洞庭|花|风,2,6,6,8
502,柳 絮,杨花,寒食|送春|陂塘|七夕,垂杨|别离|杨花|蛛丝,杨花|浪,杨花,别离|垂杨|蛛丝,浪,1,4,4,2
503,柳 絮,杨花,冬雨|沙,柳絮|风吹,柳|风,,柳絮|风吹,柳|风,0,2,2,2
504,飞 絮,杨花,春风|山|园|风,春风|入画|杨柳|风,帘|恨|春风|杨柳|空|花|风,春风|杨柳|风,入画,帘|恨|空|花,3,4,4,7
505,如梦令,杨花,春径|雾,春光|雾,帘|春|燕|空|雾|香|鹃,雾,春光,帘|春|燕|空|香|鹃,1,2,2,7
506,柳梢青,杨花,探春|尘|水声|霞|重九|送春|早春|清明|云,似雾|风前|雨余|南陌|东城|年年|送春|东风|游子|云,东风|云|佳人|春|游子|湖|花|雨|雪|雾|风,东风|云|游子,东城|似雾|南陌|年年|送春|雨余|风前,佳人|春|湖|花|雨|雪|雾|风,3,9,10,11
507,减 兰,杨花,陂塘|虹|早春|寒食雨|上元|莲塘|池,杨花|高下|东风|人愁|处处|景色|池,东风|书|人|兰|关|墨|愁|木兰|杨花|笔|花|阁,东风|杨花,人愁|处处|景色|池|高下,书|人|兰|关|墨|愁|木兰|笔|花|阁,2,7,7,12
508,忆秦娥,杨花,早春|春|云|江|远水|日|雪意,东风|春|云|江|茫茫|十里|珠帘,东风|云|客|帘|春|江|江南|珠|金,东风|云|春|江,十里|珠帘|茫茫,客|帘|江南|珠|金,4,7,7,9
509,南柯子,杨花,春|新月|祥云|渡|喜雪,纤纤|东西|南北|莺愁|芳时|春,愁|春|空|芳|莺|蝶,春,东西|南北|纤纤|芳时|莺愁,愁|空|芳|莺|蝶,1,5,6,6
510,唐多令,杨花,清明|旱|早春|客中雨|风|春,百花|韶华|东风|淹留|风|春,东风|人|愁|春|楼|洲|流|燕|空|花|草|风|香,东风|春|风,淹留|百花|韶华,人|愁|楼|洲|流|燕|空|花|草|香,3,6,6,13
511,临江仙,杨花,早春|祥云|旱|春|水|尘|风|云,东风|纷纷|韶华|春|水|尘|风|云,东风|云|春|根|水|玉|芳|蜂|蝶|风,东风|云|春|水|风,尘|纷纷|韶华,根|玉|芳|蜂|蝶,5,8,8,10
512,声声慢,杨花,冬雨|春|日|尘|梅雨|雨|早春|河|桥|月|罗|云,春|十里|扑帘|随马|一番|带雨|点点|东风|河|桥|月|罗|云,东风|云|人|台|帘|春|月|桥|河|浪|燕|花|芳|雨|雪|香|马|鱼,东风|云|春|月|桥|河,一番|十里|带雨|扑帘|点点|罗|随马,人|台|帘|浪|燕|花|芳|雨|雪|香|马|鱼,6,12,13,18
513,木兰花慢,杨花,天|雨|春|地|秋晚|秋兴|秋风|冬雨|春郊|风|云|月|池,春|地|天|断红|夕阳|无声|凄凉|梅花|云山|泪痕|点点|风|雨|云|月|池,云|人|凉|地|夕阳|天|寒|山|帘|恨|愁|春|月|梅花|泪|花|雨|雪|风,云|地|夕阳|天|春|月|梅花|雨|风,云山|凄凉|断红|无声|池|泪痕|点点,人|凉|寒|山|帘|恨|愁|泪|花|雪,9,13,16,19
514,水龙吟,杨花,雪意|春日书怀|春暮|清明|夏日|冬雨|残星|风|春|池|水,燕忙|花残|柳花|日长|珠帘|散漫|垂垂|盈盈|风|春|池|水,人|兰|台|帘|日|春|杏|林|柳|水|泪|燕|玉|珠|花|莺|蜂|金|雪|风|香|鱼,春|水|风,垂垂|散漫|日长|柳花|池|燕忙|珠帘|盈盈|花残,人|兰|台|帘|日|杏|林|柳|泪|燕|玉|珠|花|莺|蜂|金|雪|香|鱼,3,11,12,22
515,水龙吟,杨花,雨|祥云|河|秋郊|春色|流水|陂塘|池|尘,随风|万里|西园|春色|流水|杨花|点点|雨|池|尘,万里|人|恨|春色|晓|杨花|泪|流水|花|莺|雨|风,万里|春色|杨花|流水|雨,尘|池|点点|西园|随风,人|恨|晓|泪|花|莺|风,5,9,10,12
516,水龙吟,杨花,陂塘|孤峰|春|风|天|水,杨花|映日|春|风|天|水,人|兰|天|愁|日|春|杨花|水|泪|燕|玉|空|花|雪|风|香,天|春|杨花|水|风,映日,人|兰|愁|日|泪|燕|玉|空|花|雪|香,5,6,6,16
517,清 明,杨花,早春|清明,东风|清明,东风|清明|禽|花|蜂|蝶,东风|清明,,禽|花|蜂|蝶,2,2,2,6
518,来禽花,杨花,日|清明|风|春,日|清明|风|春,人间|今日|日|春|昨日|清明|禽|花|雪|风,日|春|清明|风,,人间|今日|昨日|禽|花|雪,4,4,4,10
519,雨后同干誉、才卿置酒来禽花下作,虞美人,春风|水声|江湖|春日书怀|送春|瀑布泉|喜雪|探春|虹|月|雨,落花|风前|黄昏|庭院|残红|千丈|勤花|携手|美人|蛾眉|雨,晓|杯|空|美人|花|落花|酒|雨|风|黄昏,美人|落花|雨|黄昏,勤花|千丈|庭院|携手|残红|蛾眉|风前,晓|杯|空|花|酒|风,4,11,11,10
520,念奴娇,虞美人,冬日|春阴|春色|春|清明|早春|松径|春日书怀|月,向晓|微雨|春色|梨花|风光|东风|风韵|憔悴|月,东风|人|寂|春色|晓|月|杏|枝|梨花|玉|空|花|芳|雨|风|香,东风|春色|月|梨花,向晓|微雨|憔悴|风光|风韵,人|寂|晓|杏|枝|玉|空|花|芳|雨|风|香,4,9,9,16
521,木棉花歌,木棉花,夏|春风|月|天|初日|秋山|重九|江|日|星|风,月|天|沧海|气高|祝融|炎帝|落花|年年|飞絮|江|日|星|风,人|凤|台|壮|天|寒|岭|日|月|杏|桃|江|沧海|花|花开|芳|落花|雪|风|鸟,天|日|月|江|沧海|落花|风,年年|星|气高|炎帝|祝融|飞絮,人|凤|台|壮|寒|岭|杏|桃|花|花开|芳|雪|鸟,7,11,13,20
522,咏木棉花,木棉花,早春|水|地|月,东风|水|地|月,东风|地|月|枝|楼|水|流,东风|地|月|水,,枝|楼|流,4,4,4,7
523,春日杂诗,木棉花,春风|待月|清明|日|旱|尘|风,极目|春城|夕照|落花|飞絮|苍生|遮天|风,夕|天|春|空|落花|风,落花|风,夕照|春城|极目|苍生|遮天|飞絮,夕|天|春|空,2,7,8,6
524,红 荆,紫荆,月|春,月|春,人|春|月|花开,春|月,,人|花开,2,2,2,4
525,惜郁李花,郁李花,旱|烧|云|霞|不见|狂风|地,鲜妍|高低|漠漠|红绡|不见|狂风|地,地|夕|枝|芬|花|苦|风|香,地,不见|漠漠|狂风|红绡|高低|鲜妍,夕|枝|芬|花|苦|风|香,1,7,7,8
526,次韵郁李花,郁李花,春,春,人|春|晓|枝|梅|花|菊,春,,人|晓|枝|梅|花|菊,1,1,1,7
527,楝花,楝花,潮|江|月|风,青草|江|月|风,月|江南|草|蝶|风|香,月|风,江|青草,江南|草|蝶|香,2,4,4,6
528,寄 友,郁李花,春郊|石洞|寒食雨|春径|雨|溪|沙,溪山|野人|桃李|春光|雨|溪|沙,人|山|春|桃|沙|溪|花|野|雨|鸟,沙|溪|雨,春光|桃李|溪山|野人,人|山|春|桃|花|野|鸟,3,7,7,10
529,褐金门,郁李花,风|春日书怀|春寒|药园|烟|斜阳|武夷山|春风|梅雨|春,花信|昼永|沉沉|香气|一抹|斜阳|紫云|落花|几阵|春,云|人|春|昼|燕|花|落花|香,春|落花,一抹|几阵|斜阳|昼永|沉沉|紫云|花信|香气,云|人|昼|燕|花|香,2,10,10,8
1022,浣溪沙,杨花,石桥|春昼|春暮|沙|华山|春|日,百尺|帘幕|残花|风吹|西天|春|日,人|台|天涯|帘|日|春|残花|玉楼|风,日|春|残花,帘幕|百尺|西天|风吹,人|台|天涯|帘|玉楼|风,3,7,7,9
1023,渡江云,杨花,春|春风|星|候|送春|雪晴|待月|梅雨|道路|远水|残星|秋风|霞|云|水,春|星|春风|长亭|送春|落花|凭栏|极目|冥冥|车轮|落日|盈盈|秋风|霞|云|水,人|凭栏|恨|春|春风|水|波|浮云|秋风|落日|落花|蓬莱|长亭|霞,凭栏|春|春风|水|秋风|落日|落花|长亭|霞,云|冥冥|星|极目|盈盈|车轮|送春,人|恨|波|浮云|蓬莱,9,15,16,14
1018,洛阳牡丹图,牡丹,天|河|风|虹|华山|重九|溪|云|日,天|地脉|故人|窈窕|玉版|年年|溪|云|日,云|人|叶|地|天|客|故人|日|枝|溪|牡丹|玉|花|鹤,云|天|故人|日|溪,地脉|年年|玉版|窈窕,人|叶|地|客|枝|牡丹|玉|花|鹤,5,9,9,14
1019,浣溪沙（兰花）,兰花,江|春|潮|风,江|春|潮|风,冷|叶|春|江|泪|潮|花|露|风,春|江|潮|风,,冷|叶|泪|花|露,4,4,4,9
1020,锦被堆(其二),蔷薇,早春|山|风,碎红|仙宫|风,流|风|香,风,仙宫|碎红,流|香,1,3,3,3
1021,瑶华,琼花,春|江|清明|旱|夏夜|天|云|山|尘|桥,春|江|花落花开|韶华|明月|天|云|山|尘|桥,云|人间|关|喜|壶|天上|少年|山|明月|春|枝|桥|梅|江|江南|玉|花|花开|花落|芳|蜂|蝶|豪|金|雪|香|高洁,云|山|明月|春|桥|江,天|尘|花落花开|韶华,人间|关|喜|壶|天上|少年|枝|梅|江南|玉|花|花开|花落|芳|蜂|蝶|豪|金|雪|香|高洁,6,10,10,27
530,题阶前芍药,芍药,虹|旱|云|春|风,窈窕|白日|悠悠|春|风,人|夜|孤|幽|春|晨|暮|白日|芳|露|风,春|白日|风,悠悠|窈窕,人|夜|孤|幽|晨|暮|芳|露,3,5,5,11
531,送芍药与公择,芍药,园|立夏|地|日|旱|雨|春,园|芍药|泥沙|日|旱|雨|春,乐|今日|春|枝|沙|芍药|花|雨,春|芍药|雨,园|日|旱|泥沙,乐|今日|枝|沙|花,3,7,7,8
532,芍药歌,芍药,春|天|园|立冬|风|寒食雨|甘露,春|天|好花|黄钟|君子|桃李|甘若饴,乐|人|刀|天|春|桃|花|酒|镜|霜|香|馨,天|春,君子|好花|桃李|甘若饴|黄钟,乐|人|刀|桃|花|酒|镜|霜|香|馨,2,7,7,12
533,黄修职雨中送芍药五枝,芍药,春阴|星|石洞|园|雨,微雨|煌煌|仙子|拥翠|雨,晓|玉|轩|雨,雨,仙子|微雨|拥翠|煌煌,晓|玉|轩,1,5,5,4
534,七里湾得朱表臣寄千叶楼子髻子芍药,芍药,雪意|霞|水,黯黯|霞|水,叶|楼|水|牡丹|霞|香,水|霞,黯黯,叶|楼|牡丹|香,2,3,3,6
535,芙蓉渡酒店前金沙芍药盛开,芍药,春径|衡山|渡口|立夏|月|山|沙|雨,春光|芙蓉|渡口|芍药|寂寞|山|沙|雨,孤|客|寂寞|山|春|渡|芍药|芙蓉|花|轩|金沙|雨|香,寂寞|山|芍药|芙蓉|雨,春光|沙|渡口,孤|客|春|渡|花|轩|金沙|香,5,8,8,13
536,咏芍药,芍药,雪意|秋风|风|春,梦断|云飞|风|春,云|愁|春|露|风,春|风,云飞|梦断,云|愁|露,2,4,4,5
537,芍 药,芍药,山,仙宫,灯|香|龙,,仙宫,灯|香|龙,0,1,1,3
538,华严院西轩见芍药,芍药,风,风,刀|帘|金|风|香,风,,刀|帘|金|香,1,1,1,5
539,谢赵生惠芍药(其三),芍药,清明|天|春,风光|天|春,人|人间|天|春|枝|风,天|春,风光,人|人间|枝|风,2,3,3,6
540,咏一捻红芍药,芍药,立夏,芍药,枝|芍药,芍药,,枝,1,1,1,2
541,白芍药,芍药,雪意|雨|春|夏夜|冬夜,珠帘|入夜|风暖|月明|残梦,夜|帘|暖|月|玉楼|珠|风|香,,入夜|月明|残梦|珠帘|风暖,夜|帘|暖|月|玉楼|珠|风|香,0,5,5,8
542,浪淘沙,芍药,春暮|立夏|秋郊|夏夜|春|风|山|云|桥,花残|芍药|西园|明月|春|风|山|云|桥,云|叶|山|怨|明月|春|晓|枝|桥|楼|玉|芍药|花|风,云|山|明月|春|桥|芍药|风,花残|西园,叶|怨|晓|枝|楼|玉|花,7,9,9,14
543,水龙吟,芍药,春|风|温泉|上元|月影|重九|春日书怀|霞|云|海,春|风|翠阴|银烛|光摇|画堂|离愁|霞|云|海,云|人|凤|愁|春|杜鹃|枝|流|海|烛|玉|离愁|酒|银|霞|露|风|香,云|春|海|离愁|霞|风,光摇|画堂|翠阴|银烛,人|凤|愁|杜鹃|枝|流|烛|玉|酒|银|露|香,6,10,10,18
544,望海潮,芍药,天|清明|初夏|早春|重九|山水|春日书怀|春|江|风,天|风光|红药|东风|年年|绿绕|梦魂|春|江|风,东风|亭|人|人间|天|天涯|幽|春|江|花|芳|酒|风|香,东风|天|春|江|风,年年|梦魂|红药|绿绕|风光,亭|人|人间|天涯|幽|花|芳|酒|香,5,10,10,14
545,紫躑躅,杜鹃,山|秋兴|水|月|残星|如昼|春夜|春风|春|日|夏|风,山|青山|水|月|迢迢|今夜|月午|春风|春|日|夏|风,人|夏|夜|山|幽|怨|春|春风|月|朝日|水|玉|空|空山|花|青山|风,夏|山|春|春风|月|水|青山|风,今夜|日|月午|迢迢,人|夜|幽|怨|朝日|玉|空|空山|花,8,12,12,17
546,山石榴寄元九,杜鹃,山|石|江|天|春日|衡山|春暮|远水|月|地|日,山|石|江|得一|春日|芙蓉|春暮|落日|月|地|日,人|今日|刀|地|客|山|愁|日|春|暮|月|枝|根|榴花|江|燕|珠|石|芙蓉|花|芳|苦|落日|西施,地|山|日|月|江|石|芙蓉|落日,得一|春日|春暮,人|今日|刀|客|愁|春|暮|枝|根|榴花|燕|珠|花|芳|苦|西施,8,11,11,24
547,杜鹃花,杜鹃,雷|寒食|春日书怀|野,一声|寒食|日迟|野,夜|寒|怨|日|枝|花|野|鸟|鹃,野,一声|寒食|日迟,夜|寒|怨|日|枝|花|鸟|鹃,1,4,4,9
548,玉泉寺南三里涧下多深红躑躅，繁艳殊常,杜鹃,上巳|雾|送春|上元|泉|日,南涧|三里|留连|管弦|泉|日,今日|杯|泉|涧|玉|花|苦,泉,三里|南涧|日|留连|管弦,今日|杯|涧|玉|花|苦,1,6,6,7
549,杜鹃花,杜鹃,悲秋|早春|旅中寒食|探春|云|山|烟|月|水,归心|东风|怀乡|望眼|云|山|烟|月|水,东风|云|夜|山|恨|愁|月|枝|水|烟|空|芳|行人|锦,东风|云|山|月|水|烟,归心|怀乡|望眼,夜|恨|愁|枝|空|芳|行人|锦,6,9,9,14
550,宣城见杜鹃花,杜鹃,春|月,春|月,子规|春|月|杜鹃|花|鸟,春|月,,子规|杜鹃|花|鸟,2,2,2,6
551,寄李渤,杜鹃,云|春山|上元|游春|月,度溪|春山|处处|看花|月,峰|春山|月|溪|花,春山|月,处处|度溪|看花,峰|溪|花,2,5,5,5
552,戏问山石榴,杜鹃,假山|山,庭前|山,人|山|花|马,山,庭前,人|花|马,1,2,2,4
553,山石榴,杜鹃,山|烧|云,山|烧|云,云|佳人|山|玉,云|山,烧,佳人|玉,2,3,3,4
554,叹灵鹫寺山石榴,杜鹃,水|山|春,水|山|春,人|山|岩|春|杜鹃|枝|水|蜂|蝶|露,山|春|水,,人|岩|杜鹃|枝|蜂|蝶|露,3,3,3,10
555,送杜鹃花,杜鹃,新秋|春|秋,西风|春|秋,春|秋|西风,春|秋|西风,,,3,3,3,3
556,杜鹃花,杜鹃,山|日|春风|江|溪,山|日|春风|江|溪,山|日|春风|江|溪|花|锦,山|日|春风|江|溪,,花|锦,5,5,5,7
557,杜鹃花,杜鹃,烟|春|风,一抹|春|风,夜|春|杜鹃|花|露|风,春|风,一抹,夜|杜鹃|花|露,2,3,3,6
558,浪淘沙,杜鹃,庐山|新秋|春日书怀|云|天|秋|月|春,烟霞|西风|花明|冉冉|天|秋|月|春,冷|天涯|客|怨|愁|明月|春|烟霞|秋|花|芳|西风|露,春|烟霞|秋|西风,冉冉|天|月|花明,冷|天涯|客|怨|愁|明月|花|芳|露,4,8,8,13
559,定风波,杜鹃,旱|春|探春|渔矶|山|海|日|罗,春|百紫|千红|杜鹃声|风雨|山|海|日|罗,人|日|春|杜鹃|海棠|空山|花|花开|苦|雨|风,日|春,千红|山|杜鹃声|海|百紫|罗|风雨,人|杜鹃|海棠|空山|花|花开|苦|雨|风,2,8,9,11
560,山枇杷,杜鹃,初夏|元日|寒食雨|衡山|山|溪|野|风|日|石,枇杷|火树|桃李|芙蓉|山|溪|野|风|日|石,人|山|日|枝|根|桃|溪|石|芙蓉|花|野|风,山|日|溪|石|芙蓉|野|风,枇杷|桃李|火树,人|枝|根|桃|花,7,10,10,12
561,唐昌观玉蕊花拆，有仙人游，怅然成二绝(其二),玉蕊花,七夕|沙|山|尘|云,羽车|风吹|山|尘|云,云|山|枝|玉|雪|风,云|山,尘|羽车|风吹,枝|玉|雪|风,2,5,5,6
562,和严给事闻唐昌观玉蕊花下有游仙二首(其一),玉蕊花,喜雪|冬雨|旅中寒食|探春|天台山,玉女|玉树|异香|七香|人间日易斜,人间|日|枝|玉|花|雪|香,,七香|人间日易斜|异香|玉女|玉树,人间|日|枝|玉|花|雪|香,0,5,5,7
563,唐昌观玉蕊花,玉蕊花,竹径|地,碎月|地,地|夜|月|玉|香,地,碎月,夜|月|玉|香,1,2,2,5
564,赋虞美人草,虞美人,月|沙|风|江|石,千里|陌上|风|江|石,千里|夜|悲|江|玉|石|草|风,千里|江|石|风,陌上,夜|悲|玉|草,4,5,5,8
565,虞美人花,虞美人,虹|重九,美人|年年,恨|枝|美人|花|草,美人,年年,恨|枝|花|草,1,2,2,5
566,咏虞美人草,虞美人,初夏|风|日|江,红药|风|日|江,人|哀怨|夜|日|枝|江|泪|芳|露|风,日|江|风,红药,人|哀怨|夜|枝|泪|芳|露,3,4,4,10
567,咏虞美人草,虞美人,日,日,日,日,,,1,1,1,1
568,咏虞美人草,虞美人,,,佳人|原|玉|草,,,佳人|原|玉|草,0,0,0,4
569,虞美人,虞美人,待月|江,江上|江,杜鹃|江|花开|草,江,江上,杜鹃|花开|草,1,2,2,4
570,虞美人,虞美人,喜雪|秋风|水声|尘|地,玉玲珑|秋风|古今|尘|地,叶|地|恨|戈|泪|玉|珠|秋风|芳|虞姬|露,地|秋风,古今|尘|玉玲珑,叶|恨|戈|泪|玉|珠|芳|虞姬|露,2,5,5,11
571,浪淘沙,虞美人,春风|月蚀|雨|江|日,春风|朦胧|泪痕|江|日,恨|日|春风|江|泪|玉|竹|草,日|春风|江,朦胧|泪痕,恨|泪|玉|竹|草,3,5,5,8
572,米囊花,罂粟,春山|春|春风|天|日,鸟语|东君|春风|天|日,天|日|春风|花|蜂|蝶|鸟,天|日|春风,东君|鸟语,花|蜂|蝶|鸟,3,5,5,7
573,罂粟花,罂粟,日|烟|霞,五色|烟|霞,晓|烟|花|霞,烟|霞,五色,晓|花,2,3,3,4
574,含笑花,含笑,春日书怀|春雨|药园|日,菖蒲|花房|香气|日,人|叶|日|暮|枝|玉|花|荷|香,日,花房|菖蒲|香气,人|叶|暮|枝|玉|花|荷|香,1,4,4,9
575,含 笑,含笑,水声|江湖|春雨,风前|涓涓|生春,人|夜|春|露|风,,涓涓|生春|风前,人|夜|春|露|风,0,3,3,5
576,闻傅氏庄紫笑花开，急棹小舟观之,含笑,夏日|春,日长|春,人|愁|日|春|蜂|香,春,日长,人|愁|日|蜂|香,1,2,2,6
577,含笑花,含笑,沙|雨,风吹|雨,佳人|枝|花|金|雨|风,雨,风吹,佳人|枝|花|金|风,1,2,2,6
578,咏慎郎中园木香,木香,石洞|天|春归|春风|霞|日,仙子|云车|春归|春风|霞|日,云|日|春|春风|霞,日|春风|霞,云车|仙子|春归,云|春,3,6,6,5
579,木 香,木香,月桂|春昼|药园|月,广寒宫|楼台|香气|月,台|寒|月|根|牡丹|玉楼|露|香,月,广寒宫|楼台|香气,台|寒|根|牡丹|玉楼|露|香,1,4,4,8
580,司直巡官无绪移到玫瑰花,玫瑰,霞|沙|喜雪|莲塘|春|天|日,锦绣|风吹|琼瑶|苍苔|春|天|日,台|天|客|日|春|玫瑰|芳|蔷薇|锦|风,天|日|春,琼瑶|苍苔|锦绣|风吹,台|客|玫瑰|芳|蔷薇|锦|风,3,7,7,10
581,红玫瑰,玫瑰,春色|月|风|雨|水,浅深红|月|风|雨|水,人|关|叶|月季|枝|水|流|花|蔷薇|雨|露|风|香,水|雨|风,月|浅深红,人|关|叶|月季|枝|流|花|蔷薇|露|香,3,5,5,13
582,合欢诗,合欢,霞|春日书怀|云|春,绿叶|蔽朱|因风|春|霞,叶|夕|春|根|芳|霞|风,春|霞,因风|绿叶|蔽朱,叶|夕|根|芳|风,2,4,5,7
583,东墙夜合树去秋为风雨所摧，今年花时，帐然有感,合欢,渔矶|地|春,风雨|地|春,地|春|花开|雨|风,地|春,风雨,花开|雨|风,2,3,3,5
584,中书东厅夜合,合欢,月桂|风,清香|风,枝|清香|花|风,清香|风,,枝|花,2,2,2,4
585,夜合花,合欢,秋|夏夜|春,含风|明月|春,人|夜|明月|春|枝|清晨|芳|露|风,明月|春,含风,人|夜|枝|清晨|芳|露|风,2,3,3,9
586,合欢花,合欢,春色|假山|天,春色|庭前|天,人|合欢|天涯|春色|燕|空|花,春色,天|庭前,人|合欢|天涯|燕|空|花,1,3,3,7
587,夜合花,合欢,瀑布泉|候|河|桥,朝看|长亭|河|桥,叶|合欢|夜|暮|桥|河|花|酒|长亭|马,桥|河|长亭,朝看,叶|合欢|夜|暮|花|酒|马,3,4,4,10
588,辛夷坞,辛夷,衡山|祥云|山|涧,芙蓉|纷纷|山|涧,人|寂|山|涧|芙蓉|花,山|涧|芙蓉,纷纷,人|寂|花,3,4,4,6
589,辛 夷,辛夷,春雨|十六夜月|江,春雨|影斜|江,春雨|江|笔|花|辛夷,春雨|江,影斜,笔|花|辛夷,2,3,3,5
590,木莲花,辛夷,渡口|华山|云|海|池,波涛|莲花|云|海|池,云|波|海|涛|莲花,云|海|莲花,池|波涛,波|涛,3,5,5,5
591,题灵隐寺红辛夷戏酬光上人,辛夷,华山|山,莲花|山,山|笔|芳|莲花,山|莲花,,笔|芳,2,2,2,4
592,二辛夷,辛夷,祥云|春雨,纷纷|春雨,寒|春雨|玉|空|霜|香|鹤,春雨,纷纷,寒|玉|空|霜|香|鹤,1,2,2,7
593,木笔花,辛夷,春|霞,春|霞,原|春|笔|花|锦|霞,春|霞,,原|笔|花|锦,2,2,2,6
594,路旁棣棠花,棣棠,春晴|春郊|人日|尘|地|罗|春,芳草|幽花|缕金|尘|地|罗|春,地|幽|春|花|芳草|金,地|春|芳草,尘|幽花|缕金|罗,幽|花|金,3,7,7,6
