ID,诗名,花名,sxhy_heading,sxhy_raw_words,manual_imagery,共有原词,仅诗学含英原词,仅手工词典,共有词数,sxhy_heading_数,sxhy_raw词数,manual词数
278,曲江红杏,杏花,沙|春|春风|日,江头|柳色|春风|日,日|春风|枝|柳|江|花|莺,日|春风,柳色|江头,枝|柳|江|花|莺,2,4,4,7
279,杏 花(其一),杏花,寒食|春色|早春|风,垂杨|春烟|春来|风,春|暖|流|烟|雪|风,风,垂杨|春来|春烟,春|暖|流|烟|雪,1,4,4,6
280,杏 花(其二),杏花,渔矶,风雨,夜|愁|枝|流|莺|雨|风,,风雨,夜|愁|枝|流|莺|雨|风,0,1,1,7
281,杏 花(其三),杏花,沙|日|梅溪,陌上|十里|绛雪,人|枝|雪,,十里|绛雪|陌上,人|枝|雪,0,3,3,3
282,田家,杏花,虹|斜阳|春雨|初日,高下|林外|春雨|初日,日|春雨|杏花|林|桑,春雨,初日|林外|高下,日|杏花|林|桑,1,4,4,5
283,北陂杏花,杏花,春水|早春|苦寒|探春|春|尘,春水|东风|吹作雪|南陌|春|尘,东风|春|春水|花|雪,东风|春|春水,南陌|吹作雪|尘,花|雪,3,6,6,5
284,杏 花,杏花,寒食|风|日,垂杨|萧萧|日,人|客|斜日|杏花|枝,,垂杨|日|萧萧,人|客|斜日|杏花|枝,0,3,3,5
285,春 晚,杏花,春寒|江湖|园|春归|雨,带烟|小桥|杨柳|春归|雨,春|杏花|杨柳|桥|梅|烟|雨,杨柳|雨,小桥|带烟|春归,春|杏花|桥|梅|烟,2,5,5,7
286,游园不值,杏花,樵径|莲塘|春色|寒食|园,屐齿印|苍苔|春色|红杏|园,关|春色|杏|枝,春色,园|屐齿印|红杏|苍苔,关|杏|枝,1,5,5,4
287,杏 花,杏花,春风,春风,春风|晓|杏花|枝,春风,,晓|杏花|枝,1,1,1,4
288,杏 花,杏花,春寒|秋雨|烟,春寒|破晓|烟,寒|春|晓|烟|花,烟,春寒|破晓,寒|春|晓|花,1,3,3,5
289,浣溪沙,杏花,春郊|早春|冬日书怀|立春|烟,花枝|东风|三年|初阳|烟,东风|帘|愁|枝|楼|烟|花|露,东风|烟,三年|初阳|花枝,帘|愁|枝|楼|花|露,2,5,5,8
290,酒泉子,杏花,假山|悲秋|江湖|喜雪|早春,假山|白发|黄昏|把酒|东风,东风|人|山|把酒|杏花|枝|白发|空|黄昏,东风|把酒|白发|黄昏,假山,人|山|杏花|枝|空,4,5,5,9
291,画堂春,杏花,江湖|梅雨|月|十四夜月|池|桥|雨,水平|一番|寂寞|今宵|池|桥|雨,寂寞|寒|桥|水|玉|花|雨|香,寂寞|桥|雨,一番|今宵|水平|池,寒|水|玉|花|香,3,7,7,8
292,忆秦娥,杏花,早春|春|月|候|水,春|东风|寂寞|古道|满地|天寒,东风|地|天|寂寞|寒|春|杏花|泪|珠|金,东风|寂寞|春,古道|天寒|满地,地|天|寒|杏花|泪|珠|金,3,5,6,10
293,忆汉月,杏花,池|寒食|春风|夜雨,池|红杏|春风|夜雨,夜雨|孤|怨|恨|愁|春风|杏|枝|流|莺|露|香,夜雨|春风,池|红杏,孤|怨|恨|愁|杏|枝|流|莺|露|香,2,4,4,12
1016,干秋岁,杏花,立春|春阴|日|月|云峰|风|星|罗|春,立春|微雨|晖晖|寂寞|如画|风|星|罗|春,人|夜|寂寞|寒|帘|春|杏花|杯|枝|玉|花|雨|风|香,寂寞|春|风,如画|微雨|星|晖晖|立春|罗,人|夜|寒|帘|杏花|杯|枝|玉|花|雨|香,3,9,9,14
