词条,手工类,诗学含英类,是否同类,冲突说明,手工大类,诗学含英大类,卷次,诗学含英情感倾向初判
桔臯,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
桧,,树木类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
桨,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
梅,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
梅子,,百果类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
梅溪,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
梅雨,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
梦,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
梧,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
梨,,百果类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
棠梨花,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
棠棣花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
棣棠,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
楝花,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
楼子芍药,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
榆钱,,树木类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
榭,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
槐花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
横笛,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
樱桃,,百果类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
樱桃花,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
樵夫,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
樵迳,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
橄榄,,百果类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
橘子,,百果类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
橙子,,百果类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
欢,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
歌妓,,丽人类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
歌舞,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
步月,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
武士,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
武夷山,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
残叶,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
残夏,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
残星,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
残灯,,器用类下,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
残花,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
残菊,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
残蝶,,昆虫类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
残雪,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
殿,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
母子,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
气节,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
气量,,志气类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
水亭,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
水仙,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
水声,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
水帘,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
水盏,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
水硙,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
水色,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
水芙蓉,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
水车,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
水阁,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
汉江,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
江亭,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
江南,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
江城,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
江楼,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
江楼晴望,,游眺类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷三,positive
江色,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
江行,,游眺类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷三,neutral
池,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
汤婆,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
沙场,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
沧海,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
河汉,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
泉声,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
泛湖,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
波,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
泪,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
泰山,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
洗砚,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
洞庭,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
洞箫,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
津,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
洲,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
流,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
流杯,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
浦,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
浪,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
浮云,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
海棠,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
海棠花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
海角,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
涛,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
淮河,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
清吏司,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
清晨,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
清香,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
清高,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
渊,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
渔家,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
渔灯,,器用类下,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
渔矶,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
渔笛,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
渔网,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
渔翁,人物意象,,待定,仅手工词典命中，诗学含英未收录该词,人物人伦,,,
渔鼓,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
渚,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
渡口,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
温泉,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
渭城,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
渭水,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
游子,人物意象,,待定,仅手工词典命中，诗学含英未收录该词,人物人伦,,,
游山,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
游春,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,positive
溪居,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
滑稽,,志气类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
滩,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
滴滴金,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
潇湘,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
潭,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
瀑布泉,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
火,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
灯檠,,器用类下,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
灯笼,,器用类下,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
灯花,,器用类下,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
灯蛾,,昆虫类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
灰,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
炉,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
烈,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
烈女,,丽人类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
烟云,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
烟柳,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
烟雨,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
烟霞,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
热,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
熊罴,,走兽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
爵禄,,君道类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
父子,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
牧童,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
牧笛,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
牵牛花,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
犀,,走兽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
犂锄,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
犬,,走兽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
状元,,仕进类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
狂风,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
狐,,走兽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
独坐,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
独酌,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
狮子,,走兽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
猎者,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
猫,,走兽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
猿,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
猿猴,,走兽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
玉兰,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
玉楼,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
玉樽,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
玉笛,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
玉门,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
玉门关,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
玫瑰,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
珍珠花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
琴台,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
琼花,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
瑞香,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
瑞香花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,positive
瑶池,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
瓜,,百果类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
瓢,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
甘菊,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
甘蔗,,百果类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
甘露,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
田家,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
甲胄,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画卢鴈,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画寝,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
画山,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画山水,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画松,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画梅,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画水,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画竹,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画花,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画草虫,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画虎,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画阁,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
画马,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画鱼,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画鹤,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画鹰,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
画龙,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
界方,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
疏影,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
病起,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,negative
病马,,走兽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,negative
病鹤,,飞禽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,negative
登科,,仕进类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
登第,,仕进类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
登高,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
白云,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
白发,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
白日,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
白牡丹,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
白莲花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
白菊,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
白雪,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
白霜,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
白露,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
白鸡,,飞禽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
白鹆,,飞禽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
百戏,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
百舌,,飞禽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
百里,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
盆池,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
盐运司,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
盖,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
相思,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
相者,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
睡起,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
督抚,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
知几,,志气类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
知音,,志气类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
短亭,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
短笛,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
矮松,,树木类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
石枕,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
石桥,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
石棋盘,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
石榴,,百果类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
石洞,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
石竹,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
石竹花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
石菖蒲,,百草类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷三,neutral
石鼎,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
砚屏,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
砧杵尺,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
碑碣,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
碧水,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
碧波,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
碾,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
磨镜,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
磬,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
礼部尚书,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
社曰,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
祈晴,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,positive
祈雨,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
祖孙,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
祝寿,,庆吊类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷三,positive
神仙,,释老类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
神童,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
神鬼,,释老类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
祥云,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,positive
禅僧,,释老类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
禅庵,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
离愁,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
禽,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
禾稼,,百谷类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
秋兰,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
秋兴,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
秋凉,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
秋千,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
秋声,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
秋夜,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
秋扇,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
秋日书怀,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
秋日即事,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
秋晴,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,positive
秋暮,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
秋曰,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
秋曰牡丹,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
秋月,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
秋望,,游眺类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷三,neutral
秋水,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
秋江,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
秋海棠,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
秋莲,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
秋葵,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
秋迳,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
秋郊,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
秋阴,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
秋霜,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
积雪,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
称誉,,志气类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
移竹,,竹木类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
稻,,百谷类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
稽勲,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
空,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
空山,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
立冬,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
立夏,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
立春,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,positive
立秋,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
端午,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
竹亭,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
竹几,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
竹溪,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
竹轩,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
竹迳,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
竹里泉,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
竹风,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
笋,,竹木类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
笏,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
笔架,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
第宅,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
笳,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
笼中鸟,,飞禽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
筇竹,,竹木类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
筚篥,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
箜篌,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
箪,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
箭,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
篆书,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
篛笠,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
粉蝶,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
