词条,手工类,诗学含英类,是否同类,冲突说明,手工大类,诗学含英大类,卷次,诗学含英情感倾向初判
忠,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
忠义,,臣道类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
怀友,,师友类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
怀古,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
怀归,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
思妇,人物意象,,待定,仅手工词典命中，诗学含英未收录该词,人物人伦,,,
急难,,志气类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
怨,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
总漕,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
恒山,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
恨,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
悲,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
悲愁,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
悲秋,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,negative
悼亡,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,negative
惜花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
惰夫,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
愁,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
感慨,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
慵粧,,丽人类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
戈,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
戍楼,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
战场,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
战鬪,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
戴花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
户部尚书,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
扁舟,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
扇,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
才女,,丽人类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
打毬,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
技艺,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
把酒,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
投壶,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
折柳,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
折梅,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
报恩,,志气类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
拍板,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
按察司,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
挑灯棒,,器用类下,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
探春,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,positive
探梅,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
接花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
放逐,,仕宦类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
放鹤,,飞禽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
放龟,,鳞介类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
故乡,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
故人,人物意象,,待定,仅手工词典命中，诗学含英未收录该词,人物人伦,,,
故园,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
故国,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
故宫,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
教子,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
教官,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
敬贤,,君道类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
数珠,,珍宝类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
文章,,文学类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
文选司,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
斑竹,,竹木类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
斜日,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
斜阳,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
斧,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
断琴,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
新柳,,树木类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
新秋,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
新竹,,竹木类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
新荷,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
新蝉,,昆虫类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
方丈,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
方响,,音乐类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
旅中寒食,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,negative
旅人,人物意象,,待定,仅手工词典命中，诗学含英未收录该词,人物人伦,,,
旅愁,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
旅舍,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
