词,C3,C3_zh,C2,C1,词长
不肯接受,criticize,批判指责,disgust,negative,4
不能容忍,criticize,批判指责,disgust,negative,4
不计前嫌,criticize,批判指责,disgust,negative,4
不负责任,criticize,批判指责,disgust,negative,4
不足为奇,criticize,批判指责,disgust,negative,4
不过尔尔,criticize,批判指责,disgust,negative,4
不近情理,criticize,批判指责,disgust,negative,4
不闻不问,criticize,批判指责,disgust,negative,4
与人无争,criticize,批判指责,disgust,negative,4
专制主义,criticize,批判指责,disgust,negative,4
专横跋扈,criticize,批判指责,disgust,negative,4
世事全非,criticize,批判指责,disgust,negative,4
世事失常,criticize,批判指责,disgust,negative,4
世外之僧,criticize,批判指责,disgust,negative,4
东倒西歪,criticize,批判指责,disgust,negative,4
东张西望,criticize,批判指责,disgust,negative,4
东施效颦,criticize,批判指责,disgust,negative,4
两两三三,criticize,批判指责,disgust,negative,4
丧家之犬,criticize,批判指责,disgust,negative,4
丧师辱国,criticize,批判指责,disgust,negative,4
丧权辱国,criticize,批判指责,disgust,negative,4
为富不仁,criticize,批判指责,disgust,negative,4
为所欲为,criticize,批判指责,disgust,negative,4
为虎作伥,criticize,批判指责,disgust,negative,4
为非作歹,criticize,批判指责,disgust,negative,4
乌合之众,criticize,批判指责,disgust,negative,4
乌烟瘴气,criticize,批判指责,disgust,negative,4
乐极生悲,criticize,批判指责,disgust,negative,4
乱臣贼子,criticize,批判指责,disgust,negative,4
乳臭未干,criticize,批判指责,disgust,negative,4
争名夺利,criticize,批判指责,disgust,negative,4
争权夺利,criticize,批判指责,disgust,negative,4
于事无补,criticize,批判指责,disgust,negative,4
于国无补,criticize,批判指责,disgust,negative,4
云遮雾障,criticize,批判指责,disgust,negative,4
五谷不分,criticize,批判指责,disgust,negative,4
亡命之徒,criticize,批判指责,disgust,negative,4
亡国之音,criticize,批判指责,disgust,negative,4
人声鼎沸,criticize,批判指责,disgust,negative,4
人穷志短,criticize,批判指责,disgust,negative,4
人间地狱,criticize,批判指责,disgust,negative,4
仕途不顺,criticize,批判指责,disgust,negative,4
令人厌恶,criticize,批判指责,disgust,negative,4
令人发指,criticize,批判指责,disgust,negative,4
令人生厌,criticize,批判指责,disgust,negative,4
令人讨厌,criticize,批判指责,disgust,negative,4
令人费解,criticize,批判指责,disgust,negative,4
以偏概全,criticize,批判指责,disgust,negative,4
以史讽今,criticize,批判指责,disgust,negative,4
以退为进,criticize,批判指责,disgust,negative,4
仰人鼻息,criticize,批判指责,disgust,negative,4
任人失宜,criticize,批判指责,disgust,negative,4
任人宰割,criticize,批判指责,disgust,negative,4
任其自然,criticize,批判指责,disgust,negative,4
众口一辞,criticize,批判指责,disgust,negative,4
众口难一,criticize,批判指责,disgust,negative,4
众矢之的,criticize,批判指责,disgust,negative,4
似是而非,criticize,批判指责,disgust,negative,4
低人一等,criticize,批判指责,disgust,negative,4
余音不尽,criticize,批判指责,disgust,negative,4
余音似乎,criticize,批判指责,disgust,negative,4
作威作福,criticize,批判指责,disgust,negative,4
作恶多端,criticize,批判指责,disgust,negative,4
作茧自缚,criticize,批判指责,disgust,negative,4
你是怎样,criticize,批判指责,disgust,negative,4
你死我活,criticize,批判指责,disgust,negative,4
佶屈聱牙,criticize,批判指责,disgust,negative,4
使人寻味,criticize,批判指责,disgust,negative,4
使酒骂座,criticize,批判指责,disgust,negative,4
依然故我,criticize,批判指责,disgust,negative,4
侵略战争,criticize,批判指责,disgust,negative,4
俗客庸夫,criticize,批判指责,disgust,negative,4
信口雌黄,criticize,批判指责,disgust,negative,4
俨乎其然,criticize,批判指责,disgust,negative,4
倒行逆施,criticize,批判指责,disgust,negative,4
倚门卖笑,criticize,批判指责,disgust,negative,4
借古讽今,criticize,批判指责,disgust,negative,4
借题发挥,criticize,批判指责,disgust,negative,4
假仁假义,criticize,批判指责,disgust,negative,4
偷偷摸摸,criticize,批判指责,disgust,negative,4
儿女情长,criticize,批判指责,disgust,negative,4
公子哥儿,criticize,批判指责,disgust,negative,4
六朝金粉,criticize,批判指责,disgust,negative,4
兴师动众,criticize,批判指责,disgust,negative,4
兴风作浪,criticize,批判指责,disgust,negative,4
兵荒马乱,criticize,批判指责,disgust,negative,4
养尊处优,criticize,批判指责,disgust,negative,4
冠冕堂皇,criticize,批判指责,disgust,negative,4
冥顽不灵,criticize,批判指责,disgust,negative,4
冷嘲热讽,criticize,批判指责,disgust,negative,4
冷若冰霜,criticize,批判指责,disgust,negative,4
冷酷无情,criticize,批判指责,disgust,negative,4
凡夫俗子,criticize,批判指责,disgust,negative,4
出乎其外,criticize,批判指责,disgust,negative,4
出乎其类,criticize,批判指责,disgust,negative,4
刀光血影,criticize,批判指责,disgust,negative,4
分庭抗争,criticize,批判指责,disgust,negative,4
切齿痛恨,criticize,批判指责,disgust,negative,4
刚傲不羁,criticize,批判指责,disgust,negative,4
刚愎自用,criticize,批判指责,disgust,negative,4
初出茅庐,criticize,批判指责,disgust,negative,4
判若两人,criticize,批判指责,disgust,negative,4
别有用心,criticize,批判指责,disgust,negative,4
剜肉补疮,criticize,批判指责,disgust,negative,4
劣迹昭著,criticize,批判指责,disgust,negative,4
劳民伤财,criticize,批判指责,disgust,negative,4
劳而无功,criticize,批判指责,disgust,negative,4
