external_id,name,price,currency,spec_text,color,unit,size,origin,care_instructions,image_url,image_local_path,product_url,stock_status,fetched_at
517304,多頭玫瑰 - 巧克力泡泡,70.0,HKD,"3枝
5支
10支",,"3枝
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517304,,2026-03-09 06:18:04
517301,單頭玫瑰 -洛神,120.0,HKD,"10枝
20支",,"10枝
20支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517301,,2026-03-09 06:18:11
517300,單頭玫瑰 -弗洛伊德,140.0,HKD,"10枝
20支",,"10枝
20支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517300,,2026-03-09 06:18:18
517299,單頭玫瑰 -氣場,120.0,HKD,"10枝
20支",,"10枝
20支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517299,,2026-03-09 06:18:25
517298,單頭玫瑰 -蔓塔,120.0,HKD,"10枝
20支",,"10枝
20支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517298,,2026-03-09 06:18:34
517297,單頭玫瑰 -金枝玉葉,140.0,HKD,"10枝
20支",,"10枝
20支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517297,,2026-03-09 06:18:42
517293,兩頭百合 單辦 ——品種隨機黃色,46.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517293,,2026-03-09 06:18:56
517292,三頭百合 單辦 ——品種隨機黃色,54.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517292,,2026-03-09 06:19:03
517291,兩頭百合 單辦 ——品種隨機白色,46.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517291,,2026-03-09 06:19:10
517289,三頭百合 單辦 ——品種隨機白色,54.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517289,,2026-03-09 06:19:17
