ID,sample_id,花名,月份,朝代,作者,诗名,top20_words,top5_preview
544,69,芍药,四月,宋,晁补之,望海潮,"[[""独占"", 0.3646], [""汉宫"", 0.348], [""相映"", 0.348], [""天涯"", 0.348], [""风光"", 0.348], [""新妆"", 0.348], [""扬州"", 0.3231], [""人间"", 0.2831], [""东风"", 0.2772]]",独占、汉宫、相映、天涯、风光
559,70,杜鹃,四月,宋,辛弃疾,定风波,"[[""空山"", 0.4452], [""花人"", 0.4452], [""不堪"", 0.4206], [""海棠"", 0.3859], [""风雨"", 0.3727], [""杜鹃"", 0.3727]]",空山、花人、不堪、海棠、风雨
564,71,虞美人,四月,宋,姜夔,赋虞美人草,"[[""蓬蒿"", 0.6079], [""解语"", 0.5743], [""相顾"", 0.5483]]",蓬蒿、解语、相顾
569,72,虞美人,四月,清,许氏,虞美人,"[[""君王"", 0.6307], [""汉宫"", 0.5688], [""杜鹃"", 0.528]]",君王、汉宫、杜鹃
610,73,石竹,五月,宋,张耒,石竹花,"[[""儿女"", 1.0]]",儿女
600,74,榴花,五月,宋,欧阳修,西园石榴开,"[[""最怜"", 0.5175], [""不须"", 0.494], [""绿叶"", 0.494], [""榴花"", 0.494]]",最怜、不须、绿叶、榴花
595,75,榴花,五月,唐,李白,咏邻女东窗海石榴,"[[""随风"", 0.615], [""珊瑚"", 0.581], [""清香"", 0.5331]]",随风、珊瑚、清香
596,76,榴花,五月,宋,苏辙,赋园中所有,"[[""石榴"", 0.6644], [""邻家"", 0.3684], [""残红"", 0.348], [""零落"", 0.3322], [""芳心"", 0.3193], [""开花"", 0.299]]",石榴、邻家、残红、零落、芳心
597,77,榴花,五月,明,吴宽,榴 花,"[[""团团"", 0.5224], [""参差"", 0.4987], [""相映"", 0.4987], [""亭亭"", 0.4793]]",团团、参差、相映、亭亭
608,78,榴花,五月,宋,苏轼,贺新郎,"[[""瑶台"", 0.4206], [""却是"", 0.3974], [""华屋"", 0.3974], [""幽独"", 0.3974], [""石榴"", 0.3794], [""无人"", 0.3319], [""西风"", 0.3086]]",瑶台、却是、华屋、幽独、石榴
598,79,榴花,五月,金,元格,榴 花,"[[""比较"", 0.7425], [""精神"", 0.4464], [""咏物诗"", 0.2338], [""山茶"", 0.2338], [""石榴"", 0.2232], [""手法"", 0.2232], [""叹息"", 0.2009]]",比较、精神、咏物诗、山茶、石榴
615,80,栀子花,五月,宋,朱淑真,栀 子,"[[""自然"", 1.0]]",自然
599,81,榴花,五月,唐,温庭筠,海 榴,"[[""春风"", 1.0]]",春风
614,82,栀子花,五月,唐,王建,雨过山村,"[[""不会"", 0.6215], [""风味"", 0.5872], [""生活"", 0.3108], [""不同"", 0.2936], [""充满"", 0.2936]]",不会、风味、生活、不同、充满
601,83,榴花,五月,宋,朱熹,榴 花,"[[""窈窕"", 0.5482], [""风吹"", 0.4944], [""榴花"", 0.4944], [""可怜"", 0.459]]",窈窕、风吹、榴花、可怜
603,84,榴花,五月,唐,韩愈,榴 花,"[[""青苔"", 0.4868], [""颠倒"", 0.4599], [""榴花"", 0.439], [""车马"", 0.439], [""可怜"", 0.4075]]",青苔、颠倒、榴花、车马、可怜
607,85,榴花,五月,宋,王沂孙,庆清朝,"[[""榴花"", 0.8442], [""苏轼"", 0.234], [""落叶"", 0.117], [""花工"", 0.117], [""窈窕"", 0.117], [""词人"", 0.117], [""空灵"", 0.117], [""可惜"", 0.1105], [""华屋"", 0.1105], [""动人"", 0.1105], [""诗意"", 0.1105], [""颠倒"", 0.1105], [""独怜"", 0.1105], [""车马"", 0.1055], [""寄托"", 0.1055], [""石榴"", 0.1055], [""盛开"", 0.1055], [""不须"", 0.1055], [""春色"", 0.098], [""枝头"", 0.098]]",榴花、苏轼、落叶、花工、窈窕
612,86,石竹,五月,元,蒲道源,赋石竹,"[[""蓬蒿"", 0.7269], [""点缀"", 0.6867]]",蓬蒿、点缀
609,87,石竹,五月,唐,王绩,石竹咏,"[[""叹息"", 1.0]]",叹息
611,88,石竹,五月,宋,王安石,石竹花,"[[""幽谷"", 0.5764], [""车马"", 0.5198], [""可怜"", 0.4826], [""春风"", 0.4058]]",幽谷、车马、可怜、春风
872,89,菊花,六月,唐,黄巢,题菊花,"[[""青帝"", 0.6521], [""桃花"", 0.5881], [""西风"", 0.4784]]",青帝、桃花、西风
663,90,木芙蓉,六月,唐,陆龟蒙,白 莲,"[[""瑶池"", 0.7668], [""无情"", 0.6419]]",瑶池、无情
642,91,荷花,六月,唐,温庭筠,张静婉采莲曲,"[[""舞衣"", 0.4226], [""麝脐"", 0.4226], [""藕丝"", 0.4226], [""无力"", 0.3993], [""留连"", 0.3993], [""零落"", 0.3812]]",舞衣、麝脐、藕丝、无力、留连
704,92,虞美人,六月,宋,王沂孙,水龙吟白莲,"[[""铅华"", 0.3332], [""解语"", 0.3332], [""凌波"", 0.3332], [""无奈"", 0.3332], [""烟雨"", 0.3332], [""相顾"", 0.3181], [""断魂"", 0.3181], [""芳心"", 0.3058], [""凄凉"", 0.2863], [""人间"", 0.2588]]",铅华、解语、凌波、无奈、烟雨
639,93,荷花,六月,唐,韩愈,奉酬卢给事云夫四兄曲江荷花行见寄并呈上钱七兄阁老张十八助教,[],
638,94,荷花,六月,唐,王勃,采莲曲,"[[""徘徊"", 0.5719], [""花叶"", 0.3027], [""艺术"", 0.3027], [""芙蓉"", 0.2859], [""不可"", 0.273], [""手法"", 0.273], [""秋风"", 0.2624], [""相逢"", 0.2624], [""佳人"", 0.2534], [""江南"", 0.2388]]",徘徊、花叶、艺术、芙蓉、不可
696,95,木芙蓉,六月,明,王夫之,玉楼春,"[[""绿云"", 0.7368], [""冉冉"", 0.6761]]",绿云、冉冉
637,96,荷花,六月,清,胡天游,观鑫,"[[""荷叶"", 0.5378], [""倾国"", 0.5081], [""人生"", 0.485], [""伫立"", 0.4662]]",荷叶、倾国、人生、伫立
636,97,荷花,六月,金,萧贡古,采莲曲,"[[""采采"", 0.6029], [""笑笑"", 0.6029], [""冉冉"", 0.5226]]",采采、笑笑、冉冉
699,98,虞美人,六月,宋,贺铸,踏莎行,"[[""骚人"", 0.3689], [""蜂蝶"", 0.3689], [""红衣"", 0.3485], [""幽香"", 0.3485], [""无端"", 0.3327], [""芳心"", 0.3198], [""鸳鸯"", 0.3198], [""秋风"", 0.3198], [""春风"", 0.2597]]",骚人、蜂蝶、红衣、幽香、无端
701,99,虞美人,六月,宋,姜夔,惜红衣,"[[""荷花"", 0.5902], [""无力"", 0.3216], [""可惜"", 0.3216], [""岑寂"", 0.3216], [""红衣"", 0.3216], [""狼藉"", 0.307], [""秋色"", 0.285], [""西风"", 0.2498]]",荷花、无力、可惜、岑寂、红衣
