ID,sample_id,花名,月份,朝代,作者,诗名,kmeans_cluster,kmeans_k,kmeans_silhouette
603,84,榴花,五月,唐,韩愈,榴 花,6,12,0.1502
607,85,榴花,五月,宋,王沂孙,庆清朝,6,12,0.1502
612,86,石竹,五月,元,蒲道源,赋石竹,4,12,0.1502
609,87,石竹,五月,唐,王绩,石竹咏,4,12,0.1502
611,88,石竹,五月,宋,王安石,石竹花,4,12,0.1502
872,89,菊花,六月,唐,黄巢,题菊花,11,12,0.1502
663,90,木芙蓉,六月,唐,陆龟蒙,白 莲,5,12,0.1502
642,91,荷花,六月,唐,温庭筠,张静婉采莲曲,5,12,0.1502
704,92,虞美人,六月,宋,王沂孙,水龙吟白莲,5,12,0.1502
639,93,荷花,六月,唐,韩愈,奉酬卢给事云夫四兄曲江荷花行见寄并呈上钱七兄阁老张十八助教,5,12,0.1502
638,94,荷花,六月,唐,王勃,采莲曲,5,12,0.1502
696,95,木芙蓉,六月,明,王夫之,玉楼春,5,12,0.1502
637,96,荷花,六月,清,胡天游,观鑫,5,12,0.1502
636,97,荷花,六月,金,萧贡古,采莲曲,5,12,0.1502
699,98,虞美人,六月,宋,贺铸,踏莎行,5,12,0.1502
701,99,虞美人,六月,宋,姜夔,惜红衣,5,12,0.1502
702,100,虞美人,六月,宋,康与之,洞仙歌令,5,12,0.1502
703,101,虞美人,六月,宋,王沂孙,水龙吟,5,12,0.1502
706,102,虞美人,六月,金,元好问,迈陂塘,5,12,0.1502
707,103,虞美人,六月,元,李冶,迈陂塘,4,12,0.1502
708,104,虞美人,六月,宋,姜夔,念奴娇,5,12,0.1502
759,105,秋海棠,七月,清,高士奇,南柯子,9,12,0.1502
756,106,秋海棠,七月,清,朱受新,白秋海棠,4,12,0.1502
749,107,木槿,七月,唐,杨凌,咏槿花,4,12,0.1502
782,108,芦花,七月,金,吴激,同儿曹赋芦花,4,12,0.1502
747,109,木槿,七月,明,吴宽,槿,4,12,0.1502
746,110,木槿,七月,元,舒頔,白槿花,4,12,0.1502
760,111,秋海棠,七月,清,龙启瑞,蝶恋花,9,12,0.1502
748,112,木槿,七月,唐,李商隐,槿 花(其-),4,12,0.1502
764,113,蓼花,七月,宋,宋祁,蓼 花,4,12,0.1502
783,114,芦花,七月,明,徐,芦 花,4,12,0.1502
789,115,金银花,七月,清,王夫之,金钗股,4,12,0.1502
791,116,曼陀罗,七月,宋,陈与义,曼陀罗,3,12,0.1502
768,117,蓼花,七月,清,朱彝尊,迷仙引,4,12,0.1502
770,118,蓼花,七月,清,杨芳灿,水龙吟蓼花,4,12,0.1502
774,119,鸡冠花,七月,元,姚文奂,题画鸡冠花,4,12,0.1502
781,120,紫薇,七月,宋,陆游,紫 薇,4,12,0.1502
800,121,桂花,八月,宋,苏轼,八月十七日天竺山送桂花分贈元素,3,12,0.1502
804,122,桂花,八月,唐,白居易,东城桂,3,12,0.1502
817,123,桂花,八月,宋,吴文英,古香慢,3,12,0.1502
824,124,秋葵,八月,宋,晏殊,菩萨蛮,4,12,0.1502
827,125,滴滴金,八月,宋,陶弱,滴滴金,3,12,0.1502
829,126,金钱花,八月,唐,罗隐,咏金钱花,3,12,0.1502
832,127,蘋花,八月,清,岑霁,蘋 花,4,12,0.1502
857,128,菊花,八月,明,陈宪章,晚香轩,11,12,0.1502
856,129,菊花,八月,明,高启,晚香轩,11,12,0.1502
798,130,桂花,八月,宋,曾几,岩 桂,3,12,0.1502
853,131,菊花,八月,唐,李山甫,刘员外寄移菊,11,12,0.1502
796,132,桂花,八月,元,倪瓒,桂 花,3,12,0.1502
850,133,菊花,八月,明,文森,九 日,4,12,0.1502
793,134,桂花,八月,唐,李白,咏 桂,3,12,0.1502
792,135,桂花,八月,唐,王绩,春桂问答二首,3,12,0.1502
813,136,桂花,八月,宋,谢懋,霜天晓角,3,12,0.1502
839,137,菊花,九月,明,李东阳,墨菊二首(其二),11,12,0.1502
903,138,雁来红,九月,清,边浴礼,绛都春,0,12,0.1502
840,139,菊花,九月,南朝梁,萧纲,采菊篇,11,12,0.1502
899,140,菊花,九月,宋,黄庭坚,南乡子,7,12,0.1502
841,141,菊花,九月,宋,陆游,山园草间菊数枝开，席地独酌,11,12,0.1502
837,142,菊花,九月,宋,陆游,菊 花,11,12,0.1502
843,143,菊花,九月,唐,顾非熊,万年厉员外宅赏残菊,11,12,0.1502
847,144,菊花,九月,明,何景明,八月二十八日子容过对菊,11,12,0.1502
835,145,菊花,九月,宋,梅尧臣,舟上采菊,11,12,0.1502
898,146,菊花,九月,宋,张孝祥,鹪鸪天,0,12,0.1502
834,147,菊花,九月,晋,陶渊明,饮 酒（其五）,11,12,0.1502
833,148,菊花,九月,晋,陶渊明,和郭主簿二首(其二),11,12,0.1502
900,149,菊花,九月,清,董元恺,小桃红,11,12,0.1502
895,150,菊花,九月,清,叶申芗,阮郎归,11,12,0.1502
897,151,菊花,九月,宋,黄庭坚,鹧鸪天,7,12,0.1502
896,152,菊花,九月,清,龚自珍,卖花声,11,12,0.1502
943,153,野菊,十月,宋,张鎡,如梦令,7,12,0.1502
938,154,野菊,十月,金,元好问,野菊座主闲闲公命作,7,12,0.1502
939,155,野菊,十月,金,元好问,野菊再奉座主闲闲公命作,7,12,0.1502
934,156,甘菊,十月,唐,杜甫,叹庭前甘菊花,7,12,0.1502
933,157,甘菊,十月,宋,苏轼,咏甘菊,11,12,0.1502
932,158,木芙蓉,十月,清,王又曾,酷相思,4,12,0.1502
905,159,雁来红,十月,明,释道衍,茶轩为陈惟寅赋,4,12,0.1502
906,160,雁来红,十月,宋,苏轼,茶轩为陈惟寅赋,4,12,0.1502
909,161,山茶,十月,宋,苏轼,邵伯梵行寺山茶,4,12,0.1502
915,162,山茶花,十月,清,叶申芗,木兰花慢,4,12,0.1502
917,163,木芙蓉,十月,宋,苏轼,王伯扬所藏赵昌芙蓉,4,12,0.1502
919,164,木芙蓉,十月,明,申时行,芙蓉,4,12,0.1502
925,165,木芙蓉,十月,宋,张耒,芙 蓉,4,12,0.1502
931,166,木芙蓉,十月,宋,赵昂,婆罗门引,4,12,0.1502
937,167,野菊,十月,唐,李商隐,野菊,7,12,0.1502
926,168,木芙蓉,十月,宋,范成大,窗前木芙蓉,4,12,0.1502
954,169,红梅,十一月,明,僧德辉,题红梅,0,12,0.1502
960,170,红梅,十一月,宋,苏轼,定风波,8,12,0.1502
959,171,红梅,十一月,宋,姜夔,小重山,4,12,0.1502
956,172,红梅,十一月,宋,高观国,留春 令,8,12,0.1502
957,173,红梅,十一月,宋,毛滂,玉楼春,8,12,0.1502
944,174,红梅,十一月,宋,范成大,红 梅,8,12,0.1502
945,175,红梅,十一月,宋,范成大,岭上红梅,8,12,0.1502
946,176,红梅,十一月,宋,梅尧臣,红 梅,8,12,0.1502
947,177,红梅,十一月,宋,苏轼,红 梅,8,12,0.1502
958,178,红梅,十一月,宋,真德秀,蝶恋花,8,12,0.1502
949,179,红梅,十一月,明,黄肃,红 梅,8,12,0.1502
951,180,红梅,十一月,元,王冕,红梅四首(其一),0,12,0.1502
948,181,红梅,十一月,宋,范成大,红 梅,8,12,0.1502
955,182,红梅,十一月,清,龚自珍,种红梅一株于竹下赋此,8,12,0.1502
953,183,红梅,十一月,明,李东阳,题延平刘郎中廷信所藏红梅,8,12,0.1502
952,184,红梅,十一月,元,王冕,红梅四首(其二),8,12,0.1502
974,185,水仙花,十二月,明,文征明,水 仙,2,12,0.1502
999,186,瑞香,十二月,宋,苏轼,西江月,10,12,0.1502
997,187,瑞香,十二月,宋,朱淑真,咏瑞香,10,12,0.1502
996,188,瑞香,十二月,宋,杨万里,瑞香花新开(五首之一),10,12,0.1502
995,189,瑞香,十二月,宋,范成大,瑞香花,10,12,0.1502
961,190,水仙花,十二月,宋,黄庭坚,王充道送水仙花五十枝,2,12,0.1502
962,191,水仙花,十二月,宋,刘克庄,水仙花,2,12,0.1502
987,192,蜡梅,十二月,宋,黄庭坚,戏咏蜡梅二首,4,12,0.1502
985,193,蜡梅,十二月,宋,苏轼,蜡梅一首贈赵景貺,8,12,0.1502
986,194,蜡梅,十二月,宋,陆游,荀秀才送蜡梅十枝奇甚为赋此诗,8,12,0.1502
984,195,水仙花,十二月,宋,辛弃疾,贺新郎,2,12,0.1502
983,196,水仙花,十二月,宋,王沂孙,庆宫春,2,12,0.1502
982,197,水仙花,十二月,宋,高观国,金人捧露盘,2,12,0.1502
979,198,水仙花,十二月,宋,无名氏,菩萨蛮,2,12,0.1502
975,199,水仙,十二月,清,陶孚尹,水仙花,2,12,0.1502
966,200,水仙花,十二月,宋,刘攽,水仙花,2,12,0.1502
