花名,doc_count,pmi_top_words,top10_preview
荷花,5,"[[""采莲曲"", 5.3219, 3], [""民歌"", 5.3219, 3], [""采莲女"", 5.3219, 3], [""揉碎"", 5.3219, 2], [""莲女"", 5.3219, 3], [""东升"", 5.3219, 2], [""诗绪"", 5.3219, 2], [""少年郎"", 5.3219, 2], [""打听"", 5.3219, 2], [""叩击"", 5.3219, 2], [""湖面"", 5.3219, 2], [""采莲"", 4.9069, 3], [""莲子"", 4.737, 2], [""不正"", 4.737, 2], [""凉风"", 4.737, 2], [""娇姿"", 4.3219, 1], [""垂杨"", 4.3219, 1], [""处理"", 4.3219, 1], [""公子"", 4.3219, 1], [""发红"", 4.3219, 1], [""藕丝"", 4.3219, 1], [""南海"", 4.3219, 1], [""出城"", 4.3219, 1], [""徐陵"", 4.3219, 1], [""张华"", 4.3219, 1], [""照顾"", 4.3219, 1], [""仪态万方"", 4.3219, 1], [""艺术形象"", 4.3219, 1], [""露重"", 4.3219, 1], [""陈洪"", 4.3219, 2]]",采莲曲、民歌、采莲女、揉碎、莲女、东升、诗绪、少年郎、打听、叩击
杨花,5,"[[""晴天"", 5.3219, 2], [""撩乱"", 5.3219, 3], [""柳花"", 5.3219, 2], [""飘飚"", 5.3219, 2], [""章台柳"", 5.3219, 2], [""安史"", 5.3219, 2], [""夺胎"", 5.3219, 2], [""杨花词"", 5.3219, 3], [""怀疑"", 5.3219, 2], [""奔散"", 5.3219, 2], [""花被"", 5.3219, 2], [""坠地"", 5.3219, 2], [""柳氏"", 5.3219, 2], [""沾满"", 5.3219, 2], [""衣襟"", 5.3219, 2], [""起飞"", 5.3219, 2], [""游丝"", 5.3219, 2], [""人泪"", 5.3219, 2], [""辽西"", 5.3219, 2], [""金昌"", 5.3219, 2], [""白丝行"", 5.3219, 2], [""质夫"", 5.3219, 2], [""咏杨花"", 5.3219, 2], [""杨花飞"", 5.3219, 2], [""落絮"", 5.3219, 2], [""章词"", 5.3219, 2], [""韵脚"", 5.3219, 2], [""飞絮"", 4.9069, 3], [""杨花"", 4.8365, 5], [""吹送"", 4.737, 2]]",晴天、撩乱、柳花、飘飚、章台柳、安史、夺胎、杨花词、怀疑、奔散
牡丹,4,"[[""地脉"", 5.6439, 2], [""花品"", 5.0589, 2], [""翰林学士"", 5.0589, 2], [""一气"", 5.0589, 2], [""朝云"", 5.0589, 2], [""国色"", 4.6439, 2], [""太真妃"", 4.6439, 1], [""询问"", 4.6439, 1], [""扶不起"", 4.6439, 1], [""晓寒"", 4.6439, 1], [""杂说"", 4.6439, 1], [""更替"", 4.6439, 1], [""邱鸣皋"", 4.6439, 1], [""北倚"", 4.6439, 1], [""李调元"", 4.6439, 1], [""雨村"", 4.6439, 1], [""美人迟暮"", 4.6439, 1], [""慵懒"", 4.6439, 1], [""忧心"", 4.6439, 1], [""怀旧"", 4.6439, 1], [""上句"", 4.6439, 1], [""盛世"", 4.6439, 1], [""急转"", 4.6439, 1], [""鸡漫志"", 4.6439, 1], [""极点"", 4.6439, 1], [""寒食"", 4.6439, 1], [""丝竹"", 4.6439, 1], [""真妃"", 4.6439, 1], [""佳境"", 4.6439, 1], [""扶春"", 4.6439, 1]]",地脉、花品、翰林学士、一气、朝云、国色、太真妃、询问、扶不起、晓寒
瑞香,4,"[[""花向"", 5.6439, 2], [""清异录"", 5.6439, 2], [""错杂"", 5.6439, 2], [""异彩"", 5.6439, 2], [""祥瑞"", 5.6439, 3], [""酷烈"", 5.3219, 4], [""瑞香"", 5.3219, 4], [""艳姿"", 5.2288, 3], [""畏寒"", 5.2288, 3], [""生性"", 5.2288, 3], [""庐山"", 5.0589, 2], [""熏笼"", 5.0589, 2], [""异香"", 5.0589, 2], [""深受"", 5.0589, 2], [""描画"", 5.0589, 2], [""紫红色"", 5.0589, 2], [""浓烈"", 4.8365, 4], [""闻名"", 4.6439, 1], [""娇花"", 4.6439, 1], [""丁香"", 4.6439, 1], [""惹动"", 4.6439, 1], [""老夫"", 4.6439, 1], [""先于"", 4.6439, 1], [""玉蕊花"", 4.6439, 1], [""蓬莱仙境"", 4.6439, 1], [""佩带"", 4.6439, 1], [""清奇"", 4.6439, 1], [""回京"", 4.6439, 1], [""乱发"", 4.6439, 1], [""王孙公子"", 4.6439, 1]]",花向、清异录、错杂、异彩、祥瑞、酷烈、瑞香、艳姿、畏寒、生性
野菊,4,"[[""识赏"", 5.6439, 2], [""座主"", 5.6439, 2], [""野草"", 5.6439, 2], [""赵秉文"", 5.6439, 2], [""双关语"", 5.6439, 2], [""推现"", 5.6439, 2], [""野菊"", 5.0589, 4], [""功名"", 5.0589, 2], [""晚景"", 5.0589, 2], [""暗淡"", 5.0589, 2], [""分外"", 5.0589, 2], [""杯酒"", 4.6439, 1], [""冲寒"", 4.6439, 2], [""自生"", 4.6439, 1], [""淡绿色"", 4.6439, 1], [""平缓"", 4.6439, 1], [""梅谱"", 4.6439, 1], [""郁勃"", 4.6439, 2], [""珍品"", 4.6439, 1], [""倾泻"", 4.6439, 1], [""功效"", 4.6439, 1], [""风雅"", 4.6439, 2], [""素朴"", 4.6439, 1], [""庸流"", 4.6439, 1], [""负担"", 4.6439, 1], [""河畔"", 4.6439, 1], [""深蕴"", 4.6439, 1], [""嘲讽"", 4.6439, 1], [""适应"", 4.6439, 1], [""秋野"", 4.6439, 1]]",识赏、座主、野草、赵秉文、双关语、推现、野菊、功名、晚景、暗淡
木槿,4,"[[""木槿花"", 5.6439, 3], [""素质"", 5.6439, 2], [""火焰"", 5.0589, 2], [""木槿"", 5.0589, 2], [""千花"", 4.6439, 1], [""比之"", 4.6439, 1], [""苦思"", 4.6439, 1], [""成其为"", 4.6439, 1], [""咏槿"", 4.6439, 1], [""竞发"", 4.6439, 1], [""闭眼"", 4.6439, 1], [""太实"", 4.6439, 1], [""俗字"", 4.6439, 1], [""盛夏"", 4.6439, 1], [""抒发感情"", 4.6439, 1], [""结论"", 4.6439, 1], [""事理"", 4.6439, 1], [""开落"", 4.6439, 1], [""产物"", 4.6439, 1], [""忘忧"", 4.6439, 1], [""规律"", 4.6439, 1], [""短篱"", 4.6439, 1], [""消歇"", 4.6439, 1], [""生意"", 4.6439, 1], [""坦然"", 4.6439, 1], [""朝暮"", 4.6439, 1], [""贵贱"", 4.6439, 1], [""适用"", 4.6439, 1], [""万紫千红"", 4.6439, 1], [""互斗"", 4.6439, 1]]",木槿花、素质、火焰、木槿、千花、比之、苦思、成其为、咏槿、竞发
杏花,4,"[[""竹篱茅舍"", 4.6439, 1], [""山行"", 4.6439, 1], [""民族气节"", 4.6439, 1], [""情浓"", 4.6439, 1], [""青门"", 4.6439, 1], [""笔致"", 4.6439, 1], [""征战"", 4.6439, 1], [""上承"", 4.6439, 1], [""含蕴"", 4.6439, 1], [""遍种"", 4.6439, 1], [""清平乐"", 4.6439, 1], [""负担"", 4.6439, 1], [""出之以"", 4.6439, 1], [""写情"", 4.6439, 1], [""眼睛"", 4.6439, 1], [""金代"", 4.6439, 1], [""批判"", 4.6439, 1], [""耐人"", 4.6439, 1], [""差异"", 4.6439, 1], [""长安城"", 4.6439, 1], [""花弄影"", 4.6439, 1], [""珍爱"", 4.6439, 1], [""平行"", 4.6439, 1], [""总括"", 4.6439, 1], [""陈家"", 4.6439, 1], [""小朝廷"", 4.6439, 1], [""石栏"", 4.6439, 1], [""居处"", 4.6439, 2], [""比之"", 4.6439, 1], [""着眼于"", 4.6439, 1]]",竹篱茅舍、山行、民族气节、情浓、青门、笔致、征战、上承、含蕴、遍种
石竹,4,"[[""石竹"", 5.3219, 4], [""薛屹峰"", 5.0589, 4], [""优雅"", 4.6439, 1], [""不分"", 4.6439, 1], [""劝诫"", 4.6439, 1], [""开出"", 4.6439, 1], [""须要"", 4.6439, 1], [""说来"", 4.6439, 1], [""良久"", 4.6439, 1], [""感愤"", 4.6439, 1], [""褒贬"", 4.6439, 1], [""长者"", 4.6439, 1], [""世风"", 4.6439, 1], [""东晋时"", 4.6439, 1], [""当成"", 4.6439, 1], [""花开之"", 4.6439, 1], [""习见"", 4.6439, 1], [""短篱"", 4.6439, 1], [""关注"", 4.6439, 1], [""简陋"", 4.6439, 1], [""芳葩"", 4.6439, 1], [""杂草"", 4.6439, 1], [""稚嫩"", 4.6439, 1], [""诗风"", 4.6439, 2], [""王绩"", 4.6439, 1], [""萌生"", 4.6439, 1], [""怨尤"", 4.6439, 1], [""迫害"", 4.6439, 1], [""摧折"", 4.6439, 1], [""绿枝"", 4.6439, 1]]",石竹、薛屹峰、优雅、不分、劝诫、开出、须要、说来、良久、感愤
蔷薇,3,"[[""法度"", 6.0589, 2], [""绶带"", 6.0589, 2], [""谷雨"", 5.4739, 2], [""缨络"", 5.4739, 2], [""任务"", 5.0589, 1], [""听见"", 5.0589, 1], [""遣使"", 5.0589, 1], [""迎合"", 5.0589, 1], [""尽欢"", 5.0589, 1], [""太虚"", 5.0589, 1], [""演唱"", 5.0589, 1], [""赏赐"", 5.0589, 1], [""声价"", 5.0589, 1], [""暮霭"", 5.0589, 1], [""天宫"", 5.0589, 1], [""极态"", 5.0589, 1], [""密集"", 5.0589, 1], [""花气"", 5.0589, 1], [""朝晖"", 5.0589, 1], [""珍品"", 5.0589, 1], [""成分"", 5.0589, 1], [""告别"", 5.0589, 1], [""时记"", 5.0589, 1], [""分辨"", 5.0589, 1], [""晴雨"", 5.0589, 1], [""至少"", 5.0589, 1], [""宪宗"", 5.0589, 1], [""孤立"", 5.0589, 1], [""溶溶"", 5.0589, 1], [""紧闭"", 5.0589, 1]]",法度、绶带、谷雨、缨络、任务、听见、遣使、迎合、尽欢、太虚
蜡梅,3,"[[""范村梅"", 6.0589, 2], [""蜂蜜"", 6.0589, 2], [""张洪生"", 5.6439, 3], [""京洛"", 5.4739, 2], [""檀心"", 5.4739, 2], [""清芬"", 5.0589, 2], [""诸公"", 5.0589, 1], [""严冬"", 5.0589, 2], [""似要"", 5.0589, 1], [""麝香"", 5.0589, 1], [""刺激"", 5.0589, 1], [""香极"", 5.0589, 1], [""出之以"", 5.0589, 1], [""理性"", 5.0589, 1], [""热切"", 5.0589, 1], [""傲视"", 5.0589, 2], [""亦然"", 5.0589, 1], [""安徽"", 5.0589, 1], [""黄蜡"", 5.0589, 1], [""虚景"", 5.0589, 1], [""清癯"", 5.0589, 1], [""具言"", 5.0589, 1], [""秘密"", 5.0589, 1], [""飞越"", 5.0589, 1], [""赵令"", 5.0589, 1], [""以助"", 5.0589, 1], [""精诚"", 5.0589, 1], [""已足"", 5.0589, 1], [""化成"", 5.0589, 1], [""劝酒"", 5.0589, 1]]",范村梅、蜂蜜、张洪生、京洛、檀心、清芬、诸公、严冬、似要、麝香
