ID,sample_id,花名,月份,朝代,作者,诗名,hier_cluster,hier_n_clusters
564,71,虞美人,四月,宋,姜夔,赋虞美人草,1,8
569,72,虞美人,四月,清,许氏,虞美人,1,8
610,73,石竹,五月,宋,张耒,石竹花,1,8
600,74,榴花,五月,宋,欧阳修,西园石榴开,4,8
595,75,榴花,五月,唐,李白,咏邻女东窗海石榴,1,8
596,76,榴花,五月,宋,苏辙,赋园中所有,4,8
597,77,榴花,五月,明,吴宽,榴 花,4,8
608,78,榴花,五月,宋,苏轼,贺新郎,4,8
598,79,榴花,五月,金,元格,榴 花,4,8
615,80,栀子花,五月,宋,朱淑真,栀 子,1,8
599,81,榴花,五月,唐,温庭筠,海 榴,4,8
614,82,栀子花,五月,唐,王建,雨过山村,1,8
601,83,榴花,五月,宋,朱熹,榴 花,4,8
603,84,榴花,五月,唐,韩愈,榴 花,4,8
607,85,榴花,五月,宋,王沂孙,庆清朝,4,8
612,86,石竹,五月,元,蒲道源,赋石竹,1,8
609,87,石竹,五月,唐,王绩,石竹咏,1,8
611,88,石竹,五月,宋,王安石,石竹花,1,8
872,89,菊花,六月,唐,黄巢,题菊花,2,8
663,90,木芙蓉,六月,唐,陆龟蒙,白 莲,1,8
642,91,荷花,六月,唐,温庭筠,张静婉采莲曲,1,8
704,92,虞美人,六月,宋,王沂孙,水龙吟白莲,1,8
639,93,荷花,六月,唐,韩愈,奉酬卢给事云夫四兄曲江荷花行见寄并呈上钱七兄阁老张十八助教,1,8
638,94,荷花,六月,唐,王勃,采莲曲,1,8
696,95,木芙蓉,六月,明,王夫之,玉楼春,1,8
637,96,荷花,六月,清,胡天游,观鑫,1,8
636,97,荷花,六月,金,萧贡古,采莲曲,1,8
699,98,虞美人,六月,宋,贺铸,踏莎行,1,8
701,99,虞美人,六月,宋,姜夔,惜红衣,1,8
702,100,虞美人,六月,宋,康与之,洞仙歌令,1,8
703,101,虞美人,六月,宋,王沂孙,水龙吟,1,8
706,102,虞美人,六月,金,元好问,迈陂塘,1,8
707,103,虞美人,六月,元,李冶,迈陂塘,1,8
708,104,虞美人,六月,宋,姜夔,念奴娇,1,8
759,105,秋海棠,七月,清,高士奇,南柯子,5,8
756,106,秋海棠,七月,清,朱受新,白秋海棠,1,8
749,107,木槿,七月,唐,杨凌,咏槿花,1,8
782,108,芦花,七月,金,吴激,同儿曹赋芦花,1,8
747,109,木槿,七月,明,吴宽,槿,1,8
746,110,木槿,七月,元,舒頔,白槿花,1,8
760,111,秋海棠,七月,清,龙启瑞,蝶恋花,5,8
748,112,木槿,七月,唐,李商隐,槿 花(其-),1,8
764,113,蓼花,七月,宋,宋祁,蓼 花,1,8
783,114,芦花,七月,明,徐,芦 花,1,8
789,115,金银花,七月,清,王夫之,金钗股,1,8
791,116,曼陀罗,七月,宋,陈与义,曼陀罗,1,8
768,117,蓼花,七月,清,朱彝尊,迷仙引,1,8
770,118,蓼花,七月,清,杨芳灿,水龙吟蓼花,1,8
774,119,鸡冠花,七月,元,姚文奂,题画鸡冠花,1,8
781,120,紫薇,七月,宋,陆游,紫 薇,1,8
800,121,桂花,八月,宋,苏轼,八月十七日天竺山送桂花分贈元素,1,8
804,122,桂花,八月,唐,白居易,东城桂,1,8
817,123,桂花,八月,宋,吴文英,古香慢,1,8
824,124,秋葵,八月,宋,晏殊,菩萨蛮,1,8
827,125,滴滴金,八月,宋,陶弱,滴滴金,1,8
829,126,金钱花,八月,唐,罗隐,咏金钱花,1,8
832,127,蘋花,八月,清,岑霁,蘋 花,1,8
857,128,菊花,八月,明,陈宪章,晚香轩,2,8
856,129,菊花,八月,明,高启,晚香轩,1,8
798,130,桂花,八月,宋,曾几,岩 桂,1,8
853,131,菊花,八月,唐,李山甫,刘员外寄移菊,2,8
796,132,桂花,八月,元,倪瓒,桂 花,1,8
850,133,菊花,八月,明,文森,九 日,1,8
793,134,桂花,八月,唐,李白,咏 桂,1,8
792,135,桂花,八月,唐,王绩,春桂问答二首,1,8
813,136,桂花,八月,宋,谢懋,霜天晓角,1,8
839,137,菊花,九月,明,李东阳,墨菊二首(其二),1,8
903,138,雁来红,九月,清,边浴礼,绛都春,1,8
840,139,菊花,九月,南朝梁,萧纲,采菊篇,1,8
899,140,菊花,九月,宋,黄庭坚,南乡子,1,8
841,141,菊花,九月,宋,陆游,山园草间菊数枝开，席地独酌,1,8
837,142,菊花,九月,宋,陆游,菊 花,2,8
843,143,菊花,九月,唐,顾非熊,万年厉员外宅赏残菊,2,8
847,144,菊花,九月,明,何景明,八月二十八日子容过对菊,2,8
835,145,菊花,九月,宋,梅尧臣,舟上采菊,1,8
898,146,菊花,九月,宋,张孝祥,鹪鸪天,6,8
834,147,菊花,九月,晋,陶渊明,饮 酒（其五）,1,8
833,148,菊花,九月,晋,陶渊明,和郭主簿二首(其二),1,8
900,149,菊花,九月,清,董元恺,小桃红,2,8
895,150,菊花,九月,清,叶申芗,阮郎归,2,8
897,151,菊花,九月,宋,黄庭坚,鹧鸪天,1,8
896,152,菊花,九月,清,龚自珍,卖花声,1,8
943,153,野菊,十月,宋,张鎡,如梦令,1,8
938,154,野菊,十月,金,元好问,野菊座主闲闲公命作,1,8
939,155,野菊,十月,金,元好问,野菊再奉座主闲闲公命作,1,8
934,156,甘菊,十月,唐,杜甫,叹庭前甘菊花,1,8
