ID,sample_id,花名,月份,朝代,作者,诗名,kmeans_cluster,kmeans_k,kmeans_silhouette
521,51,木棉花,三月,清,陈恭尹,木棉花歌,0,12,0.1526
343,52,素馨,四月,宋,刘镇,念奴娇,11,12,0.1526
346,53,木兰,四月,宋,刘,木 兰,11,12,0.1526
345,54,剪春罗,四月,清,秋瑾,剪春罗,0,12,0.1526
339,55,绣球,四月,明,张新,绣 球,8,12,0.1526
329,56,月季,四月,宋,杨万里,腊前月季,0,12,0.1526
327,57,玉兰,四月,清,陈维崧,东风第一枝,8,12,0.1526
321,58,李花,四月,元,郑韶,梨 花,8,12,0.1526
228,59,桃花,四月,明,赵福元,桃 花,4,12,0.1526
291,60,杏花,四月,明,陈子龙,画堂春,11,12,0.1526
259,61,桃花,四月,宋,贺铸,定风波,4,12,0.1526
260,62,桃花,四月,宋,王沂孙,露 华,8,12,0.1526
266,63,杏花,四月,宋,王安石,杏‘ 花,11,12,0.1526
255,64,桃花,四月,明,陈宪章,潘岳爱桃,4,12,0.1526
268,65,杏花,四月,唐,韩愈,杏 花,11,12,0.1526
286,66,杏花,四月,宋,叶绍翁,游园不值,0,12,0.1526
542,67,芍药,四月,宋,韩元吉,浪淘沙,8,12,0.1526
543,68,芍药,四月,宋,卢祖皋,水龙吟,8,12,0.1526
544,69,芍药,四月,宋,晁补之,望海潮,8,12,0.1526
559,70,杜鹃,四月,宋,辛弃疾,定风波,8,12,0.1526
564,71,虞美人,四月,宋,姜夔,赋虞美人草,11,12,0.1526
569,72,虞美人,四月,清,许氏,虞美人,8,12,0.1526
610,73,石竹,五月,宋,张耒,石竹花,0,12,0.1526
600,74,榴花,五月,宋,欧阳修,西园石榴开,5,12,0.1526
595,75,榴花,五月,唐,李白,咏邻女东窗海石榴,0,12,0.1526
596,76,榴花,五月,宋,苏辙,赋园中所有,5,12,0.1526
597,77,榴花,五月,明,吴宽,榴 花,5,12,0.1526
608,78,榴花,五月,宋,苏轼,贺新郎,5,12,0.1526
598,79,榴花,五月,金,元格,榴 花,5,12,0.1526
615,80,栀子花,五月,宋,朱淑真,栀 子,0,12,0.1526
599,81,榴花,五月,唐,温庭筠,海 榴,5,12,0.1526
614,82,栀子花,五月,唐,王建,雨过山村,0,12,0.1526
601,83,榴花,五月,宋,朱熹,榴 花,5,12,0.1526
603,84,榴花,五月,唐,韩愈,榴 花,5,12,0.1526
607,85,榴花,五月,宋,王沂孙,庆清朝,5,12,0.1526
612,86,石竹,五月,元,蒲道源,赋石竹,0,12,0.1526
609,87,石竹,五月,唐,王绩,石竹咏,0,12,0.1526
611,88,石竹,五月,宋,王安石,石竹花,0,12,0.1526
872,89,菊花,六月,唐,黄巢,题菊花,1,12,0.1526
663,90,木芙蓉,六月,唐,陆龟蒙,白 莲,11,12,0.1526
642,91,荷花,六月,唐,温庭筠,张静婉采莲曲,11,12,0.1526
704,92,虞美人,六月,宋,王沂孙,水龙吟白莲,11,12,0.1526
639,93,荷花,六月,唐,韩愈,奉酬卢给事云夫四兄曲江荷花行见寄并呈上钱七兄阁老张十八助教,11,12,0.1526
638,94,荷花,六月,唐,王勃,采莲曲,11,12,0.1526
696,95,木芙蓉,六月,明,王夫之,玉楼春,11,12,0.1526
637,96,荷花,六月,清,胡天游,观鑫,11,12,0.1526
636,97,荷花,六月,金,萧贡古,采莲曲,11,12,0.1526
699,98,虞美人,六月,宋,贺铸,踏莎行,11,12,0.1526
701,99,虞美人,六月,宋,姜夔,惜红衣,11,12,0.1526
702,100,虞美人,六月,宋,康与之,洞仙歌令,11,12,0.1526
703,101,虞美人,六月,宋,王沂孙,水龙吟,11,12,0.1526
706,102,虞美人,六月,金,元好问,迈陂塘,11,12,0.1526
707,103,虞美人,六月,元,李冶,迈陂塘,11,12,0.1526
708,104,虞美人,六月,宋,姜夔,念奴娇,11,12,0.1526
759,105,秋海棠,七月,清,高士奇,南柯子,6,12,0.1526
756,106,秋海棠,七月,清,朱受新,白秋海棠,8,12,0.1526
749,107,木槿,七月,唐,杨凌,咏槿花,0,12,0.1526
782,108,芦花,七月,金,吴激,同儿曹赋芦花,11,12,0.1526
747,109,木槿,七月,明,吴宽,槿,0,12,0.1526
746,110,木槿,七月,元,舒頔,白槿花,0,12,0.1526
760,111,秋海棠,七月,清,龙启瑞,蝶恋花,6,12,0.1526
748,112,木槿,七月,唐,李商隐,槿 花(其-),0,12,0.1526
764,113,蓼花,七月,宋,宋祁,蓼 花,7,12,0.1526
783,114,芦花,七月,明,徐,芦 花,0,12,0.1526
789,115,金银花,七月,清,王夫之,金钗股,8,12,0.1526
791,116,曼陀罗,七月,宋,陈与义,曼陀罗,7,12,0.1526
768,117,蓼花,七月,清,朱彝尊,迷仙引,7,12,0.1526
770,118,蓼花,七月,清,杨芳灿,水龙吟蓼花,7,12,0.1526
774,119,鸡冠花,七月,元,姚文奂,题画鸡冠花,0,12,0.1526
781,120,紫薇,七月,宋,陆游,紫 薇,0,12,0.1526
800,121,桂花,八月,宋,苏轼,八月十七日天竺山送桂花分贈元素,10,12,0.1526
804,122,桂花,八月,唐,白居易,东城桂,10,12,0.1526
817,123,桂花,八月,宋,吴文英,古香慢,10,12,0.1526
824,124,秋葵,八月,宋,晏殊,菩萨蛮,8,12,0.1526
827,125,滴滴金,八月,宋,陶弱,滴滴金,10,12,0.1526
829,126,金钱花,八月,唐,罗隐,咏金钱花,8,12,0.1526
832,127,蘋花,八月,清,岑霁,蘋 花,0,12,0.1526
857,128,菊花,八月,明,陈宪章,晚香轩,1,12,0.1526
856,129,菊花,八月,明,高启,晚香轩,1,12,0.1526
798,130,桂花,八月,宋,曾几,岩 桂,10,12,0.1526
853,131,菊花,八月,唐,李山甫,刘员外寄移菊,1,12,0.1526
796,132,桂花,八月,元,倪瓒,桂 花,10,12,0.1526
850,133,菊花,八月,明,文森,九 日,1,12,0.1526
793,134,桂花,八月,唐,李白,咏 桂,0,12,0.1526
792,135,桂花,八月,唐,王绩,春桂问答二首,0,12,0.1526
813,136,桂花,八月,宋,谢懋,霜天晓角,10,12,0.1526
839,137,菊花,九月,明,李东阳,墨菊二首(其二),1,12,0.1526
903,138,雁来红,九月,清,边浴礼,绛都春,7,12,0.1526
840,139,菊花,九月,南朝梁,萧纲,采菊篇,1,12,0.1526
899,140,菊花,九月,宋,黄庭坚,南乡子,1,12,0.1526
841,141,菊花,九月,宋,陆游,山园草间菊数枝开，席地独酌,1,12,0.1526
837,142,菊花,九月,宋,陆游,菊 花,1,12,0.1526
843,143,菊花,九月,唐,顾非熊,万年厉员外宅赏残菊,1,12,0.1526
847,144,菊花,九月,明,何景明,八月二十八日子容过对菊,1,12,0.1526
835,145,菊花,九月,宋,梅尧臣,舟上采菊,1,12,0.1526
898,146,菊花,九月,宋,张孝祥,鹪鸪天,4,12,0.1526
834,147,菊花,九月,晋,陶渊明,饮 酒（其五）,1,12,0.1526
833,148,菊花,九月,晋,陶渊明,和郭主簿二首(其二),1,12,0.1526
900,149,菊花,九月,清,董元恺,小桃红,1,12,0.1526
895,150,菊花,九月,清,叶申芗,阮郎归,1,12,0.1526
897,151,菊花,九月,宋,黄庭坚,鹧鸪天,1,12,0.1526
896,152,菊花,九月,清,龚自珍,卖花声,1,12,0.1526
943,153,野菊,十月,宋,张鎡,如梦令,1,12,0.1526
938,154,野菊,十月,金,元好问,野菊座主闲闲公命作,1,12,0.1526
939,155,野菊,十月,金,元好问,野菊再奉座主闲闲公命作,1,12,0.1526
934,156,甘菊,十月,唐,杜甫,叹庭前甘菊花,0,12,0.1526
933,157,甘菊,十月,宋,苏轼,咏甘菊,1,12,0.1526
932,158,木芙蓉,十月,清,王又曾,酷相思,11,12,0.1526
905,159,雁来红,十月,明,释道衍,茶轩为陈惟寅赋,8,12,0.1526
906,160,雁来红,十月,宋,苏轼,茶轩为陈惟寅赋,8,12,0.1526
909,161,山茶,十月,宋,苏轼,邵伯梵行寺山茶,8,12,0.1526
915,162,山茶花,十月,清,叶申芗,木兰花慢,8,12,0.1526
917,163,木芙蓉,十月,宋,苏轼,王伯扬所藏赵昌芙蓉,11,12,0.1526
919,164,木芙蓉,十月,明,申时行,芙蓉,11,12,0.1526
925,165,木芙蓉,十月,宋,张耒,芙 蓉,11,12,0.1526
931,166,木芙蓉,十月,宋,赵昂,婆罗门引,11,12,0.1526
937,167,野菊,十月,唐,李商隐,野菊,0,12,0.1526
926,168,木芙蓉,十月,宋,范成大,窗前木芙蓉,11,12,0.1526
954,169,红梅,十一月,明,僧德辉,题红梅,2,12,0.1526
960,170,红梅,十一月,宋,苏轼,定风波,2,12,0.1526
959,171,红梅,十一月,宋,姜夔,小重山,2,12,0.1526
956,172,红梅,十一月,宋,高观国,留春 令,2,12,0.1526
957,173,红梅,十一月,宋,毛滂,玉楼春,2,12,0.1526
944,174,红梅,十一月,宋,范成大,红 梅,2,12,0.1526
945,175,红梅,十一月,宋,范成大,岭上红梅,2,12,0.1526
946,176,红梅,十一月,宋,梅尧臣,红 梅,2,12,0.1526
947,177,红梅,十一月,宋,苏轼,红 梅,2,12,0.1526
958,178,红梅,十一月,宋,真德秀,蝶恋花,2,12,0.1526
949,179,红梅,十一月,明,黄肃,红 梅,2,12,0.1526
951,180,红梅,十一月,元,王冕,红梅四首(其一),4,12,0.1526
948,181,红梅,十一月,宋,范成大,红 梅,2,12,0.1526
955,182,红梅,十一月,清,龚自珍,种红梅一株于竹下赋此,2,12,0.1526
953,183,红梅,十一月,明,李东阳,题延平刘郎中廷信所藏红梅,2,12,0.1526
952,184,红梅,十一月,元,王冕,红梅四首(其二),2,12,0.1526
974,185,水仙花,十二月,明,文征明,水 仙,3,12,0.1526
999,186,瑞香,十二月,宋,苏轼,西江月,9,12,0.1526
997,187,瑞香,十二月,宋,朱淑真,咏瑞香,9,12,0.1526
996,188,瑞香,十二月,宋,杨万里,瑞香花新开(五首之一),9,12,0.1526
995,189,瑞香,十二月,宋,范成大,瑞香花,9,12,0.1526
961,190,水仙花,十二月,宋,黄庭坚,王充道送水仙花五十枝,3,12,0.1526
962,191,水仙花,十二月,宋,刘克庄,水仙花,3,12,0.1526
987,192,蜡梅,十二月,宋,黄庭坚,戏咏蜡梅二首,0,12,0.1526
985,193,蜡梅,十二月,宋,苏轼,蜡梅一首贈赵景貺,2,12,0.1526
986,194,蜡梅,十二月,宋,陆游,荀秀才送蜡梅十枝奇甚为赋此诗,2,12,0.1526
984,195,水仙花,十二月,宋,辛弃疾,贺新郎,3,12,0.1526
983,196,水仙花,十二月,宋,王沂孙,庆宫春,3,12,0.1526
982,197,水仙花,十二月,宋,高观国,金人捧露盘,3,12,0.1526
979,198,水仙花,十二月,宋,无名氏,菩萨蛮,3,12,0.1526
975,199,水仙,十二月,清,陶孚尹,水仙花,3,12,0.1526
966,200,水仙花,十二月,宋,刘攽,水仙花,3,12,0.1526
