ID,sample_id,花名,月份,朝代,作者,诗名,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,dominant_topic,dominant_topic_score
791,116,曼陀罗,七月,宋,陈与义,曼陀罗,0.0951,0.0028,0.0028,0.0028,0.0028,0.4149,0.4788,6,0.4788
768,117,蓼花,七月,清,朱彝尊,迷仙引,0.0022,0.0022,0.2481,0.0022,0.0022,0.5685,0.1745,5,0.5685
770,118,蓼花,七月,清,杨芳灿,水龙吟蓼花,0.0015,0.0015,0.0015,0.2466,0.0015,0.2774,0.47,6,0.47
774,119,鸡冠花,七月,元,姚文奂,题画鸡冠花,0.3905,0.0028,0.0028,0.263,0.0028,0.3354,0.0028,0,0.3905
781,120,紫薇,七月,宋,陆游,紫 薇,0.0033,0.0033,0.3136,0.0033,0.0033,0.5959,0.0775,5,0.5959
800,121,桂花,八月,宋,苏轼,八月十七日天竺山送桂花分贈元素,0.6699,0.0023,0.0023,0.0023,0.0023,0.0023,0.3187,0,0.6699
804,122,桂花,八月,唐,白居易,东城桂,0.6313,0.0015,0.0015,0.162,0.0015,0.2008,0.0015,0,0.6313
817,123,桂花,八月,宋,吴文英,古香慢,0.481,0.188,0.1686,0.0018,0.1572,0.0018,0.0018,0,0.481
824,124,秋葵,八月,宋,晏殊,菩萨蛮,0.0014,0.0014,0.0014,0.0014,0.3796,0.6136,0.0014,5,0.6136
827,125,滴滴金,八月,宋,陶弱,滴滴金,0.2496,0.0016,0.0016,0.0016,0.0016,0.0016,0.7426,6,0.7426
829,126,金钱花,八月,唐,罗隐,咏金钱花,0.0018,0.0018,0.0018,0.0018,0.0018,0.989,0.0018,5,0.989
832,127,蘋花,八月,清,岑霁,蘋 花,0.266,0.0012,0.0012,0.6714,0.0579,0.0012,0.0012,3,0.6714
857,128,菊花,八月,明,陈宪章,晚香轩,0.9908,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0,0.9908
856,129,菊花,八月,明,高启,晚香轩,0.9898,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0,0.9898
798,130,桂花,八月,宋,曾几,岩 桂,0.623,0.0022,0.1684,0.0022,0.0022,0.1999,0.0022,0,0.623
853,131,菊花,八月,唐,李山甫,刘员外寄移菊,0.9901,0.0016,0.0016,0.0016,0.0016,0.0017,0.0016,0,0.9901
796,132,桂花,八月,元,倪瓒,桂 花,0.7455,0.1784,0.0005,0.0275,0.0473,0.0005,0.0005,0,0.7455
850,133,菊花,八月,明,文森,九 日,0.7099,0.0021,0.0021,0.0773,0.0021,0.2044,0.0021,0,0.7099
793,134,桂花,八月,唐,李白,咏 桂,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.989,6,0.989
792,135,桂花,八月,唐,王绩,春桂问答二首,0.002,0.002,0.002,0.002,0.002,0.002,0.9879,6,0.9879
813,136,桂花,八月,宋,谢懋,霜天晓角,0.8435,0.0013,0.0013,0.1499,0.0013,0.0013,0.0013,0,0.8435
839,137,菊花,九月,明,李东阳,墨菊二首(其二),0.6138,0.0032,0.0032,0.0032,0.0032,0.2012,0.1722,0,0.6138
903,138,雁来红,九月,清,边浴礼,绛都春,0.0008,0.0008,0.0008,0.1797,0.33,0.3812,0.1066,5,0.3812
840,139,菊花,九月,南朝梁,萧纲,采菊篇,0.9864,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0,0.9864
899,140,菊花,九月,宋,黄庭坚,南乡子,0.5431,0.0431,0.4059,0.002,0.002,0.002,0.002,0,0.5431
841,141,菊花,九月,宋,陆游,山园草间菊数枝开，席地独酌,0.3869,0.0032,0.0032,0.065,0.0032,0.5354,0.0032,5,0.5354
837,142,菊花,九月,宋,陆游,菊 花,0.9821,0.003,0.003,0.003,0.003,0.003,0.003,0,0.9821
843,143,菊花,九月,唐,顾非熊,万年厉员外宅赏残菊,0.9198,0.0698,0.0021,0.0021,0.0021,0.0021,0.0021,0,0.9198
847,144,菊花,九月,明,何景明,八月二十八日子容过对菊,0.9881,0.002,0.002,0.002,0.002,0.002,0.002,0,0.9881
835,145,菊花,九月,宋,梅尧臣,舟上采菊,0.8596,0.0023,0.0023,0.0023,0.1287,0.0024,0.0024,0,0.8596
