ID,sample_id,花名,月份,朝代,作者,诗名,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,dominant_topic,dominant_topic_score
636,97,荷花,六月,金,萧贡古,采莲曲,0.0013,0.0013,0.0013,0.9923,0.0013,0.0013,0.0013,3,0.9923
699,98,虞美人,六月,宋,贺铸,踏莎行,0.0009,0.0009,0.0009,0.9945,0.0009,0.0009,0.0009,3,0.9945
701,99,虞美人,六月,宋,姜夔,惜红衣,0.0012,0.0012,0.4574,0.5364,0.0012,0.0012,0.0012,3,0.5364
702,100,虞美人,六月,宋,康与之,洞仙歌令,0.0016,0.0016,0.0016,0.9904,0.0016,0.0016,0.0016,3,0.9904
703,101,虞美人,六月,宋,王沂孙,水龙吟,0.0008,0.0008,0.0008,0.9954,0.0008,0.0008,0.0008,3,0.9954
706,102,虞美人,六月,金,元好问,迈陂塘,0.0016,0.0016,0.0016,0.645,0.0016,0.0016,0.3472,3,0.645
707,103,虞美人,六月,元,李冶,迈陂塘,0.0018,0.0018,0.1214,0.3591,0.1743,0.0018,0.3397,3,0.3591
708,104,虞美人,六月,宋,姜夔,念奴娇,0.0012,0.0291,0.2397,0.7264,0.0012,0.0012,0.0012,3,0.7264
759,105,秋海棠,七月,清,高士奇,南柯子,0.0024,0.2641,0.0024,0.0024,0.3815,0.0024,0.3448,4,0.3815
756,106,秋海棠,七月,清,朱受新,白秋海棠,0.002,0.6527,0.002,0.002,0.1174,0.2219,0.002,1,0.6527
749,107,木槿,七月,唐,杨凌,咏槿花,0.0626,0.0027,0.0027,0.0027,0.4102,0.2821,0.2371,4,0.4102
782,108,芦花,七月,金,吴激,同儿曹赋芦花,0.0031,0.003,0.0031,0.4765,0.2066,0.3047,0.0031,3,0.4765
747,109,木槿,七月,明,吴宽,槿,0.0998,0.0023,0.0023,0.0024,0.0023,0.8884,0.0024,5,0.8884
746,110,木槿,七月,元,舒頔,白槿花,0.0028,0.0028,0.0028,0.0028,0.0028,0.9831,0.0028,5,0.9831
760,111,秋海棠,七月,清,龙启瑞,蝶恋花,0.0018,0.0018,0.0018,0.3964,0.4084,0.1879,0.0018,4,0.4084
748,112,木槿,七月,唐,李商隐,槿 花(其-),0.2232,0.0014,0.0014,0.4387,0.0014,0.3326,0.0014,3,0.4387
764,113,蓼花,七月,宋,宋祁,蓼 花,0.0021,0.0021,0.3352,0.6541,0.0021,0.0021,0.0021,3,0.6541
783,114,芦花,七月,明,徐,芦 花,0.0039,0.0039,0.0039,0.0039,0.4684,0.0039,0.5122,6,0.5122
789,115,金银花,七月,清,王夫之,金钗股,0.0572,0.1923,0.0031,0.0031,0.003,0.7383,0.0031,5,0.7383
791,116,曼陀罗,七月,宋,陈与义,曼陀罗,0.5428,0.003,0.003,0.2158,0.003,0.2295,0.003,0,0.5428
768,117,蓼花,七月,清,朱彝尊,迷仙引,0.0023,0.0023,0.0023,0.5574,0.0023,0.431,0.0023,3,0.5574
770,118,蓼花,七月,清,杨芳灿,水龙吟蓼花,0.2607,0.0015,0.0015,0.7317,0.0015,0.0015,0.0015,3,0.7317
774,119,鸡冠花,七月,元,姚文奂,题画鸡冠花,0.3854,0.0028,0.0028,0.0028,0.0028,0.6009,0.0028,5,0.6009
781,120,紫薇,七月,宋,陆游,紫 薇,0.2451,0.0032,0.0032,0.0032,0.176,0.5661,0.0032,5,0.5661
800,121,桂花,八月,宋,苏轼,八月十七日天竺山送桂花分贈元素,0.0022,0.0022,0.0022,0.0022,0.0022,0.9866,0.0022,5,0.9866
804,122,桂花,八月,唐,白居易,东城桂,0.0015,0.0015,0.0015,0.0015,0.0015,0.9912,0.0015,5,0.9912
817,123,桂花,八月,宋,吴文英,古香慢,0.0019,0.2327,0.1506,0.0019,0.0019,0.3007,0.3103,6,0.3103
824,124,秋葵,八月,宋,晏殊,菩萨蛮,0.1207,0.0014,0.1417,0.0014,0.0014,0.7321,0.0014,5,0.7321
827,125,滴滴金,八月,宋,陶弱,滴滴金,0.4556,0.0016,0.0016,0.0016,0.0016,0.5365,0.0016,5,0.5365
829,126,金钱花,八月,唐,罗隐,咏金钱花,0.9891,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0,0.9891
832,127,蘋花,八月,清,岑霁,蘋 花,0.377,0.0013,0.0013,0.2556,0.0013,0.1428,0.2208,0,0.377
857,128,菊花,八月,明,陈宪章,晚香轩,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.9906,6,0.9906
856,129,菊花,八月,明,高启,晚香轩,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.99,6,0.99
798,130,桂花,八月,宋,曾几,岩 桂,0.0022,0.0022,0.2181,0.0022,0.0022,0.7708,0.0022,5,0.7708
853,131,菊花,八月,唐,李山甫,刘员外寄移菊,0.0016,0.0016,0.0016,0.0016,0.0016,0.1422,0.85,6,0.85
796,132,桂花,八月,元,倪瓒,桂 花,0.0005,0.0551,0.0005,0.0779,0.0005,0.8652,0.0005,5,0.8652
850,133,菊花,八月,明,文森,九 日,0.0021,0.0021,0.1519,0.0021,0.0021,0.0021,0.8374,6,0.8374
793,134,桂花,八月,唐,李白,咏 桂,0.0023,0.0023,0.0023,0.0023,0.0023,0.9864,0.0023,5,0.9864
792,135,桂花,八月,唐,王绩,春桂问答二首,0.002,0.0021,0.002,0.002,0.002,0.7452,0.2446,5,0.7452
813,136,桂花,八月,宋,谢懋,霜天晓角,0.0013,0.0013,0.0013,0.0013,0.0013,0.9921,0.0013,5,0.9921
839,137,菊花,九月,明,李东阳,墨菊二首(其二),0.0033,0.0033,0.0033,0.0033,0.0033,0.5709,0.4125,5,0.5709
903,138,雁来红,九月,清,边浴礼,绛都春,0.5806,0.1047,0.0009,0.1624,0.0009,0.0009,0.1497,0,0.5806
840,139,菊花,九月,南朝梁,萧纲,采菊篇,0.6036,0.0023,0.0023,0.0023,0.0023,0.0023,0.3848,0,0.6036
899,140,菊花,九月,宋,黄庭坚,南乡子,0.0022,0.0022,0.3058,0.0022,0.0803,0.0022,0.6051,6,0.6051
841,141,菊花,九月,宋,陆游,山园草间菊数枝开，席地独酌,0.003,0.003,0.003,0.003,0.1248,0.5025,0.3607,5,0.5025
837,142,菊花,九月,宋,陆游,菊 花,0.003,0.003,0.003,0.003,0.0355,0.0031,0.9492,6,0.9492
843,143,菊花,九月,唐,顾非熊,万年厉员外宅赏残菊,0.002,0.002,0.002,0.002,0.0257,0.002,0.9641,6,0.9641
847,144,菊花,九月,明,何景明,八月二十八日子容过对菊,0.002,0.002,0.1124,0.002,0.002,0.002,0.8773,6,0.8773
835,145,菊花,九月,宋,梅尧臣,舟上采菊,0.0643,0.0024,0.0024,0.0024,0.0024,0.0427,0.8833,6,0.8833
898,146,菊花,九月,宋,张孝祥,鹪鸪天,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.9925,6,0.9925
834,147,菊花,九月,晋,陶渊明,饮 酒（其五）,0.0031,0.003,0.003,0.0031,0.003,0.0921,0.8927,6,0.8927
833,148,菊花,九月,晋,陶渊明,和郭主簿二首(其二),0.0026,0.0026,0.0026,0.0852,0.0026,0.0026,0.9018,6,0.9018
900,149,菊花,九月,清,董元恺,小桃红,0.1173,0.1893,0.0017,0.0017,0.0017,0.0017,0.6865,6,0.6865
895,150,菊花,九月,清,叶申芗,阮郎归,0.002,0.002,0.002,0.002,0.002,0.002,0.9881,6,0.9881
897,151,菊花,九月,宋,黄庭坚,鹧鸪天,0.0015,0.0015,0.2631,0.0015,0.0015,0.0015,0.7296,6,0.7296
